程序导标记，不用翻译,,
STRID,LAN,Remark
msg_adms_em_fire_skill_1,"The skills below can be upgraded by enhancing Talisman:

Fire Strike: Primary Skill

Fire Barb: Primary Skill

Fire Dragon: Can be activated when Talisman reaches level 7.

Fire Spiral: Can be activiated when Talisman reaches level 15.

Fire Burst: Can be activated when Talisman reaches level 25.",
msg_adms_em_water_skill,Wizard Water Talisman,
msg_adms_em_water_skill_1,"The skills below can be upgraded by enhancing Talisman:

Water Fling: Can be activiated when Talisman reaches level 5.

Ice Fling: Can be activiated when Talisman reaches level 5.

Water Barb: Can be activiated when Talisman reaches level 10.

Tide Spout: Can be activiated when Talisman reaches level 20.

Water Flowing: Can be activiated when Talisman reaches level 30.",
msg_adms_fm_buddha_skill,Monk Budda Talisman,
msg_adms_fm_buddha_skill_1,"The skills below can be upgraded by enhancing Talisman:

Giant Attack: Primary Skill

Giant Burst: Primary Skill

Giant Halt: Can be activiated when Talisman reaches level 7.

Giant Break: Can be activiated when Talisman reaches level 15.

Giant Raid:  Can be activiated when Talisman reaches level 25.",
msg_adms_fm_fire_skill,Monk Fire Talisman,
msg_adms_fm_fire_skill_1,"The skills below can be upgraded by enhancing Talisman:

Fatal Probe: Can be activiated when Talisman reaches level 5.

Fatal Burning: Can be activiated when Talisman reaches level 5.

Fatal Bash: Can be activiated when Talisman reaches level 10.

Fatal Crack:  Can be activiated when Talisman reaches level 20.

Fatal Sadness: Can be activiated when Talisman reaches level 30.",
msg_adms_gift,Inherence Desc.,
msg_adms_gift_1,Weapon Talisman can get one Inherence point with every 2 levelups after its enhance level has reached level 10.,
msg_adms_qc_lightning_skill,Assassin Lightning Talisman,
msg_adms_qc_lightning_skill_1,"The skills below can be upgraded by enhancing Talisman:

Lightning Lash: Primary Skill

Lash Faint: Primary Skill

Double Lash: Can be activiated when Talisman reaches level 7.

Thunder Slow: Can be activiated when Talisman reaches level 15.

Lightning Sweeping: Can be activiated when Talisman reaches level 25.",
msg_adms_qc_poison_skill,Assassin ,
msg_adms_qc_poison_skill_1,"The skills below can be upgraded by enhancing Talisman:

Poison Sting: Can be activiated when Talisman reaches level 5.

Rush Faint: Can be activiated when Talisman reaches level 5.

Poison Bash: Can be activiated when Talisman reaches level 10.

Poison Thorn: Can be activiated when Talisman reaches level 20.

Soul Lost: Can be activiated when Talisman reaches level 30.",
msg_adms_xq_poison_skill,Tamer Poison Talisman,
msg_adms_xq_poison_skill_1,"The skills below can be upgraded by enhancing Talisman:

Rapid Shoot: Can be activiated when Talisman reaches level 5.

Snake Poison: Can be activiated when Talisman reaches level 5.

Bear Hit: Can be activiated when Talisman reaches level 10.

Power Shoot: Can be activiated when Talisman reaches level 20.

Eagle Swoop: Can be activiated when Talisman reaches level 30.",
msg_adms_xq_water_skill,Tamer Water Talisman,
msg_adms_xq_water_skill_1,"The skills below can be upgraded by enhancing Talisman:

Heavy Crack: Primary Skill

Rapid Crack: Primary Skill

Shadow Crack: Can be activiated when Talisman reaches level 7.

Thorn Crack: Can be activiated when Talisman reaches level 15.

Spiny Crack: Can be activiated when Talisman reaches level 25.",
msg_auto_walk_hint,[Find]%s,
msg_bag_type_name_item,Item,
msg_bag_type_name_task,Quest,
MSG_BIND_GOLD_STYLE1,%s%s's bound %d Gold %d Silver %d Copper,
MSG_BIND_GOLD_STYLE2,%s%s's bound %d Silver %d Copper,
MSG_BIND_GOLD_STYLE3,%s%s's bound %d Copper,
MSG_BUS,[no_use],
msg_calendar_create_event_error_before_today,You cannot create event on one day before today.,
msg_callfriend_userdead,"Failed to summon, player [%s] is dead.",
msg_can_move_err,Obstacle in this place.,
msg_concentrate11,You cannot concentrate in the current state.,
msg_consign_query0,All,
msg_consign_query1,High Reward,
msg_consign_query2,Guild Member,
msg_consign1,The money on your body cannot meet the needs of commitment rewards and commission.,
msg_consign10,"This commitment quest has been accepted by other, so you cannot cancel it.",
msg_consign11,You must reach level %d to release quest in commitment system.,
msg_consign12,You must reach level %d to accept quest in commitment system.,
msg_consign13,One player can only accept one commitment at one time.,
msg_consign14,Each player can accept %d committed quests at most per day.,
msg_consign15,Player can only accept the committed quest whose level is lower than his/her.,
msg_consign16,Succeeded to Commit,
msg_consign17,Succeeded to Accept Commitment,
msg_consign18,You cannot accept your own committed quest.,
msg_consign19,This committed quest has been accepted by others.,
msg_consign2,Each player can commit %d quests at most.,
msg_consign20,Release Commitment,
msg_consign21,Check Commitment,
msg_consign22,This commited quest has expired.,
msg_consign23,Item %s cannot be traded.,
msg_consign24,Item %s cannot be set as commitment reward.,
msg_consign25,Item %s can be set as commitment reward when its number is %d.,
msg_consign26,Quest Commitment Reward to,
msg_consign27,Quest Commitment Reward to,
msg_consign28,"The quest %s you've committed has been finished, please check.",
msg_consign29,"Quest %s has been finished, system has returned the %d Gold to you",
msg_consign3,Each player can commit %d quest at most per day.,
msg_consign30,Commited quest %d has been checked.,
msg_consign31,"%d Gold, %d Silver, %d Copper",
msg_consign32,"%d Silver, %d Copper",
msg_consign33,%d Copper,
msg_consign34,#r Get Money:,
msg_consign35,Quest Commit House,
msg_consign36,You need to pay 3 Gold as desposit to accept committed quest.,
msg_consign37,%d Gold has been spent as deposit.  The money will be returned to you when you've finsihed this quest.,
msg_consign38,Are you sure to use %d as commission?  It will be returned to you after you've finished the committed quest.,
msg_consign4,You have committed this quest.,
msg_consign5,"Server is busy now, you cannot commit now.",
msg_consign6,Back Commited Quest Reward,
msg_consign7,Back Commited Quest Reward,
msg_consign8,Quest commitment %s has been cancelled.,
msg_consign9,This quest commitment does not exist.,
msg_crystal_title,Bind Shop,
MSG_CSTRIKE_HINT,"Attack level %d enemy, you have %.2f%% rates of pierce attack!",
msg_default_bag_name,Item Box,
msg_discridam,Resistance,
MSG_DISCRIDAM_HINT,"When you suffer the mortal damage from a level %d target, reduce damage: %.2f%% ",
msg_dmgabsorb,Damage Absorb,
msg_dmgattack,Attribute Damage,
msg_dungeon_ready,[ok],
msg_effect_day,Day,
msg_effect_hour,Hour,
msg_effect_minute,Minute,
msg_effect_second,Second,
msg_effect_time,Left,
msg_extend_bag_forever,Permanent,
msg_exterd_bag_limit,Limited Time,
msg_extern_bag_name,Page %d,
msg_extern_bag_never_add,Unactivated,
msg_extern_bag_outdate,Expired,
msg_fightstate_practice,"In battle state now, you cannot enhance Talisman.",
MSG_GEMSTONEINLAY,Gem Inlay,
MSG_GODPOWER_NEED_EMORE,Soul Power must be equal to or higher than %d.,
msg_guild_req_list1,Target is not online.,
msg_guild_req_list2,"It has reached the max registrated numbers, please try later.",
msg_guild_req_list3,Repeated registration is not allowed.,
msg_guild_req_list4,"Server is busy now, please try later.",
msg_guild_req_list5,Not found your registration.  Invalid operation.,
msg_guild_req_list6,Registeration Successful,
msg_guild_req_list7,Succeeded to delete registration.,
msg_guild_req_list8,You have a guild already.  ,
msg_hole1,Weapon / Assistant Talisman and Defense Gear can be created holes.,
msg_hole10,"For equipment of level 30 and below, only level 1~ 3 gems are available.",
msg_hole11,"For equipment of level 60 and below, only level 1~ 6 gems are available.",
msg_hole12,Succeeded to take out the gem.,
msg_hole13,Equipment's level is too low.,
msg_hole14,Only one gem of the same kind can be inlaid.,
msg_hole15,It's not gem.,
msg_hole16,This gem does not match with the item.,
msg_hole17,The item with inlaid gem cannot be transferred.  Please take the gem down first.,
msg_hole18,No item with inlaid gem can be put here.,
msg_hole2,No extra hole can be created in this equipment.,
msg_hole3,You don't have enough money to create a hole.,
msg_hole4,Succeeded to create a hole.,
msg_hole5,Please create a hole first.,
msg_hole6,The target contains a gem.,
msg_hole7,Succeeded to inlay the gem.,
msg_hole8,No hole in the target place.,
msg_hole9,No gem in the target place.,
msg_is_line_err,Something stops you and the target.,
msg_item_ChangeAppear_error,You cannot use Cosmetic Drug in current state.,
MSG_ITEM_INIT_COUNT,Amount %d; Max stackable: %d,
MSG_ITEMFUSE_ERROR10,The Talisman which is inlaid gem cannot be merged.  Please take the gem down first.,
MSG_ITEMLEV_NEED_ELESS,Equipment's level must be lower than %d.,
MSG_ITEMLEV_NEED_EMORE,Equipment's level cannot be lower than than %d.,
MSG_ITEMLEV_NEED_LESS,Equipment's level must be lower than %d.,
MSG_ITEMLEV_NEED_MORE,Equipment's level must be higher than %d.,
msg_login35,Hardware Password Protection Error,
msg_max_hp,Max HP,
msg_minute,%d Minute(s),
msg_money_bind,Bind,
msg_money_not_enough,Not enough money in your Item Box.,
msg_murder_begin11,Resentment exists everywhere!  [%s] has released a Quarry Token to [%s].,
msg_no_dead_cancel_first,"If you don't want to be revived by Jackstraw, please cancel.",
msg_npc5630_1,[no_use],
msg_npc5630_2,No enough item to merge.,
msg_point_title,Shop,
msg_refine_error0,No space in the Item Box to refine gem.,
msg_refine_error1,Unknown error in gem's quality.,
msg_refine_error2,Gem has reached its max refinery level.,
msg_refine_error3,Please put the gem.,
msg_refine_error4,It needs 6 gems to refine.,
msg_refine_error5,No space in the Item Box to upgrade gem.,
msg_refine_error6,Gem has reached its max level.,
msg_refine_error7,It needs 2 gems to upgrade.,
MSG_REFINE_STONE,Gem Refinery,
msg_refine_success0,Succeeded to refine the gem.,
msg_refine_success1,Succeeded to upgrade the gem.,
MSG_RIDER_ERROR01,Only unbound mount is available.,
msg_rider_extra,Get extra effect %s when riding.,
MSG_RIDERSPEED,Mount Enhancement,
MSG_RIDERSPEED_01,Please put the tiger or kylin (+7 or +7 above),
MSG_RIDERSPEED_02,Please put Enhancement Charm!,
MSG_RIDERSPEED_03,The Enhancement Charm does not match with the mount!,
MSG_RIDERSPEED_04,No space in Item Box.,
MSG_RIDERSPEED_05,Succeeded to enhane the mount.,
msg_seal_time_err,"When a guild leader succeeds to seal, the other guild leaders must wait for %d minutes to seal again.",
msg_smallpet_point_limited,Little pet's single attribute can be added %d points at most. ,
MSG_SMITHING_NO_GEM,You have no item to combine it.,
msg_stall36,You cannot set an empty stall.,
msg_stall37,The item %s in the stall has been cancelled due to some changes.,
msg_stall38,"When setting stall, players cannot be summoned.",
msg_stall39,"When setting stall, players cannot invite or accpet Duel.",
msg_stall40,Red-name character cannot set stall.,
msg_stone_lv,Lv%d:,
msg_stone0,Please put Gem,
msg_strike,Mortal Attack,
msg_suit_juju1,[no_use],
msg_suit_juju2,[no_use],
msg_suit_juju3,[no_use],
msg_suit_juju4,[no_use],
msg_suit_juju5,[no_use],
msg_suit_juju6,[no_use],
msg_suit_juju7,[no_use],
msg_super_no_dead_cancel_first,"If you don't need to use Phoenix Jackstraw, please cancel.",
msg_support_weapon,Inherence Desc.,
msg_support_weapon_1,"Assistant Talisman can get 1 Inherence point with each levelup.

It can get 10 Inherence points at most.

Improve the Inherence can enhance its skill attribute.

Each Inherence can be improved to level 5 at most.",
msg_support_weapon_bh_1,Treasure Leaf (Assistant Talisman),
msg_support_weapon_bh_2,Wonder Needle (Assistant Talisman),
msg_support_weapon_bh_3,Purple Cloud (Assistant Talisman),
msg_support_weapon_bh_4,Purple Cowry (Assistant Talisman),
msg_support_weapon_bh_skill_1,"Fairy Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Healing Spell: Primary Skill

Cure Spell: Primary Skill

Revive Spell: Primary Skill",
msg_support_weapon_bh_skill_2,"Fairy Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Leeching Needle: Primary Skill

Antidote Needle: Primary Skill

Sun Needle: Primary Skill",
msg_support_weapon_bh_skill_3,"Fairy Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Cloud Dimming: Primary Skill

Cloud Balk: Primary Skill",
msg_support_weapon_bh_skill_4,"Fairy Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Purple Smoke: Primary Skill

Purple Crystal: Primary Skill

Purple Shield： Primary Skill",
msg_support_weapon_em_1,Ice Shield (Assistant Talisman),
msg_support_weapon_em_2,Longbrow Needle (Assistant Talisman),
msg_support_weapon_em_3,Warm Jade (Assistant Talisman),
msg_support_weapon_em_4,Tao Symbol (Assistant Talisman),
msg_support_weapon_em_skill_1,"Wizard Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Ice Curse: Primary Skill

Ice Shield: Primary Skill",
msg_support_weapon_em_skill_2,"Wizard Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Inspiring Art: Primary Skill

Pointing Faint: Primary Skill",
msg_support_weapon_em_skill_3,"Wizard Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Silence Spell: Primary Skill

Sobering Spell: Primary Skill",
msg_support_weapon_em_skill_4,"Wizard Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Tao Power: Primary Skill

Earth Faint: Primary Skill",
msg_support_weapon_fm_1,Diamond Sutra (Assistant Talisman),
msg_support_weapon_fm_2,Buddha Bone (Assistant Talisman),
msg_support_weapon_fm_3,Treasure Loop (Assistant Talisman),
msg_support_weapon_fm_4,Heart Lotus (Assistant Talisman),
msg_support_weapon_fm_skill_1,"Monk Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Buddha Quake: Primary Skill

Buddha Shield: Primary Skill",
msg_support_weapon_fm_skill_2,"Monk Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Mercy: Primary Skill

Sacrifice: Primary Skill",
msg_support_weapon_fm_skill_3,"Monk Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Robust Spell: Primary Skill

Free Spell: Primary Skill",
msg_support_weapon_fm_skill_4,"Monk Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Heart Lotus: Primary Skill

Heart Fire: Primary Skill",
msg_support_weapon_qc_1,Hasty Shoes (Assistant Talisman),
msg_support_weapon_qc_2,Theurgy Bell (Assistant Talisman),
msg_support_weapon_qc_3,Array Flag (Assistant Talisman),
msg_support_weapon_qc_4,Dragon Roc (Assistant Talisman),
msg_support_weapon_qc_skill_1,"Assassin Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Swift Move: Primary Skill

Shadowy Walk: Primary Skill",
msg_support_weapon_qc_skill_2,"Assassin Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Soul Rocking: Primary Skill

Soul Shield: Primary Skill",
msg_support_weapon_qc_skill_3,"Assassin Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Puzzling Array: Primary Skill

Elements Array: Primary Skill",
msg_support_weapon_qc_skill_4,"Assassin Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Dragon Cry: Primary Skill

Roc Singk: Primary Skill",
msg_support_weapon_xq_1,Pet Bell (Assistant Talisman),
msg_support_weapon_xq_2,Jade Vessel (Assistant Talisman),
msg_support_weapon_xq_3,Nature Booklet (Assistant Talisman),
msg_support_weapon_xq_4,Trap Meshwork (Assistant Talisman),
msg_support_weapon_xq_skill_1,"Tamer Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Heal Pet: Primary Skill

Revive Pet: Primary Skill

Wild Pet: Primary Skill",
msg_support_weapon_xq_skill_2,"Tamer Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Poison of Attack: Primary Skill

Poison of Slow: Primary Skill

Poison of Weakness: Primary Skill",
msg_support_weapon_xq_skill_3,"Tamer Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Brisk Wind: Primary Skill

Stone Skin: Primary Skill

Brutal Fight: Primary Skill",
msg_support_weapon_xq_skill_4,"Tamer Assistant Talisman .

The skills below can be upgraded by enhancing Talisman:

Fire Trap: Primary Skill

Freezing Trap: Primary Skill",
msg_task_bag_name,Quest Bag,
msg_task_canconsign_list,Committed Quest,
msg_task_consign,(Commitment),
msg_task_consign_all,O,
msg_task_consign_already,(Commit),
msg_task_consign_list,Commit Quest,
msg_task_finish_scoor,Quest Reply,
MSG_TASK_IS_DOING,You have accepted this quest.,
MSG_TASK_IS_FINISHED,You have finished this quest already.,
msg_task_req_get,Get,
msg_trump_practice,Enhance Talisman,
MSG_UPDATE_STONE,Gem Upgrade,
msg_user_out_ctrl1,"Cannot be summoned in ""Uncontrolled"" state.",
msg_user_out_ctrl2,"Cannot be teleported in ""Uncontrolled"" state.",
msg_user_out_ctrl3,"Cannot enter Scenario in ""Uncontrolled"" state.",
msg_user_out_ctrl4,"In ""Uncontroleld"" state,  %s cannot enter PK Arena.",
msg_user_out_ctrl5,You cannot enter Guild Demesne in uncontrolled state.,
pin_msg2_2,"Please click OK button.  If you input wrong, please click ""Clear"" button to input again.",
pin_msg2_3,"Please click OK button.  If you input wrong, please click ""Clear"" button to input again.",
card_get_luck,%s got item %s.,
card_get_treasure,%s got item %s.,
card_mail_sender,Item post center.,
card_mail_title,Mail posted with item.,
cha_addoneself_shield_error,You can not block Your own words.,
cha_channel_shielded_error,This channel  has been blocked.,
cha_is_forbidded_error,You are forbidden to chat.,
cha_no_faction_error,Not belongs to any guild.,
cha_no_party_error,Not belongs to any guild.,
cha_no_spouse_error,Current no spouse.,
cha_no_team_error,Current no team.,
cha_notenough_energy_error,No stamina to shout.,
cha_p_add_blackuser_ok,Put %s into black list.,
cha_p_del_blackuser_ok,Delete %s from black list.,
cha_p_forbid_ok,"%s chatting forbidden success, lasting %d second. ",
cha_p_listen_ok,Monitoring [%s] ok.,
cha_p_offline_error,%s offline.,
cha_p_unforbid_ok,Cancel chatting forbidden %s success.,
cha_p_unlisten_ok,Stop monitoring [%s].,
cha_romor_failed_error,Failed to anonymous,
cha_userdata_error,user data error,
chat_world_with_item,#u#R World Charm #n,
company_name, ,
dteam_add_err_alreadyin,The player is in your group already.,
dteam_add_err_full,Group is full.,
dteam_already_joined_one,You belong to a competition group already.,
dteam_col_joinrate,Attend Rate,
dteam_col_joinstate,Attend ,
dteam_col_lev,Level,
dteam_col_name,Name,
dteam_col_official,Position,
dteam_col_party,Profession,
dteam_col_score,Score,
dteam_col_score_pve,PVE Score,
dteam_col_score_pvp,PVP Score,
dteam_create_error,Failed in setting up a group.,
dteam_create_inputname,Please input the group name you want to setup.,
dteam_create_nameinvalid,"Setup failed, group name is illegal.",
dteam_create_namesame,"Setup failed, this name has been used by other group.  Please use other name.",
dteam_create_new,Setup Group,
dteam_create_success,Succeed in setting up the group.,
dteam_create_userlev,You have to reach level %d to setup a group.,
dteam_delete_team,Are you sure to disband your group?,
dteam_delete_this,Disband Group,
dteam_destroy_error1,Disbanding group failed.  Some members are still in the Arena.,
dteam_destroy_error2,Disbanding group failed.  The group is still in auto matching process.,
dteam_destroyed,The group you belonged to is disbanded.,
dteam_dismiss_makesure,Are you sure to expel %s from the group?,
dteam_enter_actorcount_invalid,"To enter %s, the player amount limitation is %d - %d. ",
dteam_enter_battle_error,You can not enter Group Arena while in battle mode.,
dteam_enter_error2,"Player %s is offline, he/she can't attend the group competition.",
dteam_enter_error3,"Player %s is in the scenario, he/she can't attend the group competition.",
dteam_error1,You don't have the authority. ,
dteam_invite,Please input the player name you want to invite.,
dteam_invite_nothisuser,Can't find the appointed player.,
dteam_joinstate,Attend,
dteam_leaderleave_makesure,"You are the group captain, you can't quit this group.",
dteam_leave_err_leader,Captain can't quit the group. But you have the right to disband the group.,
dteam_leave_makesure,Are you sure to quit the group?,
dteam_member_be_kicked,%s were expelled from the group.,
dteam_member_leave,%s quit the group.,
dteam_new_member,%s joined the group.,
dteam_no_team,You are not belong to any competition group.,
dteam_official_leader,Captain,
dteam_official_mass,Member,
dteam_official_subleader,Vice Captain,
dteam_other_alr_joinedone,The player has joined another group already.,
dteam_other_invite,"%s invites you to join his/her competition group: %s, do you agree?",
dteam_rankcol_arglevel,Avg. Level,
dteam_rankcol_dungeonlevel,Competition Level,
dteam_rankcol_rank,Rank,
dteam_rankcol_team,Group,
dteam_rankcol_teamleader,Captain,
dteam_response_agree,%s agreed to join your group.,
dteam_response_decline,%s refused to join your group.,
dteam_selcol_actorcount,Player Amount,
dteam_selcol_type,Type,
dteam_u_be_kicked,You were expelled from the competition group.,
dteam_user_notfound,Can not find this character.,
float_msg_dodge,Dodge,
float_msg_enter_battle,Enter Battle,
float_msg_full,Complete,
float_msg_hits,Hits,
float_msg_leave_battle,Leave Battle,
float_msg_min,Minimum,
float_msg_miss,Missed,
float_msg_parry,Block,
font_s_12,,
font_s_17,17,
font_s_18,18,
font_title,title,
game_big5_name1,qibin001_1,
game_big5_name2,qibin001_2,
game_malay_gb_name1,anhei001_1,game_malay_gb_name1
game_malay_gb_name2,anhei001_2,game_malay_gb_name2
game_name1,tandao001_1,
game_name2,tandao001_2,
gender_man,Male,
gender_women,Female,
gm_cmd_error,Command format error.,
gm_cmd_unknown,Unknown Error,
gm_creitem_err,Parameter generate error.,
gm_err_unknown,Unknown Error,
gm_item_not_found,Specified item not found.,
gm_load_data_err,Loading player data error.,
gm_money_invalid,Gold amount invalid.,
gm_name,GM,
gm_op_data_err,Player data operation failed.,
gm_send_mail_fail,Mail sending error.,
gm_sys_admin,System Admin,
gm_user_offline,Player is offline.,
gm_user_online,"Player is online, player has to be offline to process this operation.",
gm_userlev_invalid,Player character level is illegal.,
GUILD_ADD_MEMBER,Please input the name to invite join the guild.,
GUILD_BANK,Guild Warehouse,
GUILD_BANK_CANNOTWITHDRAW,You don't have the authority to withdraw from the guild warehouse.,
GUILD_BANK_COL_ITEM,Item,
GUILD_BANK_COL_MONEY,Gold,
GUILD_BANK_COL_OP,Operation,
GUILD_BANK_COL_TIME,Time,
GUILD_BANK_COL_USERNAME,Player,
GUILD_BANK_HIS_TIME,%02d/%02d  %02d:%02d,
GUILD_BANK_ITEMCANNOTTRADE,This item can't deposit into the guild warehouse.,
GUILD_BANK_SAVE,Deposit,
GUILD_BANK_WITHDRAW,Withdraw,
GUILD_BULL_ERROR1,You don't have the right.,
GUILD_BULL_ERROR2,Too many characters in guild information.,
GUILD_BULLETIN_TLIMIT,Guild information can be updated only once within 1 minute.,
GUILD_BULLETIN_TODAY,Today's Guild Info:,
GUILD_BUND_MSG1,Guild %s does not exist.,
GUILD_BUND_MSG2,Guild %s is already your guild's ally.,
GUILD_BUND_MSG3,One guild can have %d allies at most.,
GUILD_BUND_MSG4,Succeeded to add guild %s in the alliance.,
GUILD_BUND_MSG5,Guild %s does not exist in your alliance list.,
GUILD_BUND_MSG6,Succeeded to remove guild %s from alliance list.,
GUILD_BUND_MSG7,Only guild leader has the authority to do this.,
GUILD_BUND_MSG8,You belong to no guild.,
GUILD_BUNDGUILD_ADD,Please enter the name of the guild to ally.,
GUILD_BUNDGUILD_SURE_DELETE,Be sure to stop the alliance with guild [%s]?,
GUILD_CONTRI_DESC,Please input the number you want to expend to gain your Contribution Value (Unit: Gold):,
GUILD_CONTRI_REACH_MAX,You can gain max %d points Contribution Value per day.  So today you can only donate %d Gold at most.,
GUILD_CONTRI_SUCCESS,Succeed in expending Gold to gain Contribution Value.,
GUILD_CONTRIBUTE_EXPR_HINT,Increase %d points of Contribution Value and Guild Prosperity. ,
GUILD_COPY_GUILD_NAME,Copy Guild Name,
GUILD_CREATE_ERR1,You have belonged to one guild already.,
GUILD_CREATE_FAILED,"Server error, failed to setup guild.",
GUILD_CREATE_SUCCESS,Guild set up success.,
GUILD_DESTROY_CONFIRM,Are you sure to disband the guild?,
GUILD_DESTROY_ERR1,You have no guild.,
GUILD_DESTROY_ERR2,This guild is in disbanding stage.,
GUILD_ERROR_UNKNOWN,Guild set up error.,
GUILD_EXPR_HINT1,Guild Contribution Value of today at least need %d.,
GUILD_EXPR_HINT2,Guild Contribution Value of today at most not exceed %d.,
GUILD_EXPR_HINT3,You can at most gain %d points of Guild Contribution Value.,
GUILD_GUILD_STATE,Guild,
GUILD_HOUSEHOLD_DEFNAME,Branch %d,
GUILD_HOUSEHOLD_MANAGERUP_OFF1,A guild member belongs to a branch can not be promoted to a higher position than an Officer.  So please quit from the branch first.,
GUILD_HOUSEHOLD_NAME_INVALID,Branch name should not more than 12 characters.  And no illegal characters.,
GUILD_HOUSEHOLD_NONE,(No Branch),
GUILD_HOUSEHOLD_ONEMANAGER,Only one Officer for each guild branch.,
GUILD_HOUSEHOLD_SAMENAME,Branch Name should not be repeated.,
GUILD_I_LEAVE,Quit from guild ,
GUILD_INVITE_ERR1,This player joined other guild already.,
GUILD_INVITE_JOIN,Invite to join the guild,
GUILD_LEADER_CHANGE,New guild leader is now appointed.,
GUILD_LIST_AREA,Area,
GUILD_LIST_CONTRIBUTE,Accumulated Contribution Value:,
GUILD_LIST_LASTONLINE,Online,
GUILD_LIST_LEVEL,Level,
GUILD_LIST_NAME,Name,
