model,speed,ride_pose
ride2001_04,,ride_s
ride052_1,,ride_s
ride052_2,,ride_s
ride052_3,,ride_s
ride052_4,,ride_s
ride032_a,,ride_s
ride032_b,,ride_s
ride032_c,,ride_s
ride032_d,,ride_s
ride2001_05,,ride_s
ride037dm_4,,ride_stand_walk
ride038dm_4,,ride_stand_walk
ride039dm_4,,ride_stand_walk
ride040dm_4,,ride_stand_walk
ride041dm_4,,ride_stand_walk
ride042dm_4,,ride_stand_walk
ride043dm_4,,ride_stand_walk
ride044dm_4,,ride_stand_walk
ride045dm_4,,ride_stand_walk
ride046dm_4,,ride_stand_walk
ride047dm_4,,ride_stand_walk
ride048dm_4,,ride_stand_walk
ride049dm_4,,ride_s
ride050dm_4,,ride_hulu
ride050dm_4_1,,ride_hulu
ride050dm_4_2,,ride_hulu
ride050dm_4_3,,ride_hulu
ride050dm_4,,ride_s
ride050dm_4_1,,ride_s
ride050dm_4_2,,ride_s
ride050dm_4_3,,ride_s
ride051dm_4,,ride_s
ride052dm_4,,ride_s
ride053dm_4,,ride_s
ride055dm_4,,ride_s
ride056dm_4,,ride_s
ride057dm_4,,ride_s
ride058dm_4,,ride_s
ride059dm_4,,ride_stand_walk
ride60dm_3,,ride_hulu
ride6018_8,,ride_s
ride6018_5,,ride_stand_walk
ride6018_6,,ride_s
ride6018_9,,ride_s
ride6018_7,,ride_s
plantfloater,,ride_stand_walk
pegasus,,ride_s
dolphin,,ride_s
scorpion,,ride_hulu
bee,,ride_s
icefloater,,ride_stand_walk
flamefloater,,ride_stand_walk
thundersword,,ride_stand_walk
brownbear,,ride_s
pumpkin,,ride_stand_walk
flamesword,,ride_stand_walk
surfboard,,ride_stand_walk
blackhorse,,ride_s
skydragon,,ride_s
blueskullsword,,ride_stand_walk
goldensword,,ride_stand_walk
azuresword,,ride_stand_walk
ride050dm_4,,ride_hulu
ride050dm_4_1,,ride_hulu
ride050dm_4_2,,ride_hulu
ride050dm_4_3,,ride_hulu
deer,,ride_s
rapier,,ride_stand_walk
elephant,,ride_hulu
sand,,ride_hulu
ride_special_1,,ride_s
rides10,,ride_l
pavaoo,205,ride_s
coelho,205,ride_s
swords,,ride_stand_walk
gatoo,,ride_hulu
ride6049_04,,ride_stand_walk
ride6050_04,,ride_stand_walk
ride6052_04,,ride_stand_walk
ride6055_04,,ride_stand_walk
elepha,,ride_hulu
ride2001_28,,ride_stand_walk
ride2001_29,,ride_s
ride2001_30,,ride_l
ride2001_31,,ride_s
ride2001_32,,ride_l
ride2001_33,,ride_stand_walk
ridepto_2015_trex,205,ride_l
ridepto_2015_turtle,205,ride_l
louvad,,ride_s
javali,205,ride_l
reileao,205,ride_l
wolf,,ride_l
plantfloater,,ride_stand_walk
pegasus,,ride_s
dolphin,,ride_s
scorpion,,ride_hulu
bee,,ride_s
icefloater,,ride_stand_walk
flamefloater,,ride_stand_walk
thundersword,,ride_stand_walk
brownbear,,ride_s
pumpkin,,ride_stand_walk
flamesword,,ride_stand_walk
surfboard,,ride_stand_walk
blackhorse,,ride_s
skydragon,,ride_s
blueskullsword,,ride_stand_walk
goldensword,,ride_stand_walk
azuresword,,ride_stand_walk
ride050dm_4,,ride_hulu
ride050dm_4_1,,ride_hulu
ride050dm_4_2,,ride_hulu
ride050dm_4_3,,ride_hulu
deer,,ride_s
rapier,,ride_stand_walk
elephant,,ride_hulu
sand,,ride_hulu
ride_special_1,,ride_s
ride6010_1,,ride_s
ride6010_2,,ride_s
ride6010_3,,ride_s
ride6010_4,,ride_s
ride6012_1,,ride_s
ride6012_2,,ride_s
ride6012_3,,ride_s
ride6012_4,,ride_s
ride6008_1,,ride_s
ride6008_2,,ride_s
ride6008_3,,ride_s
ride6008_4,,ride_s
rides22,,wait_ride
rides23,,wait_ride
ride032_1,,ride_stand_walk
ride032_2,,ride_stand_walk
ride032_3,,ride_stand_walk
ride032_4,,ride_stand_walk
ride034_1,,ride_hulu
ride034_2,,ride_hulu
ride034_3,,ride_hulu
ride034_4,,ride_hulu
ride026_1,,ride_stand_walk
ride026_2,,ride_stand_walk
ride026_3,,ride_stand_walk
ride026_4,,ride_stand_walk
ride059dm_1,,ride_stand_walk
ride059dm_2,,ride_stand_walk
ride059dm_3,,ride_stand_walk
ride059dm_4,,ride_stand_walk
ride6018_9,,ride_s
ride2001_01,,ride_stand_walk
ride2001_02,,ride_stand_walk
ride2001_03,,ride_stand_walk
ride061dm_4,,ride_stand_walk
ride6022_4,,ride_s
ride6011_4,,ride_s
ride025_1,,ride_stand_walk
ride025_2,,ride_stand_walk
ride025_3,,ride_stand_walk
ride025_4,,ride_stand_walk
ride056dm_4,,ride_s
ride054dm_4,,ride_s
wolf,,ride_l
rides11,,ride_l
rides12,,ride_stand_walk
rides13,,ride_stand_walk
rides14,,ride_l
rides31,,ride_l
ride070_4,,ride_s
ride071_4,,ride_s
ride060_4,205,ride_s,
ride062_4,,ride_stand_walk,
ride063_4,205,ride_s,
ride064_4,205,ride_s,
ride074_4,205,ride_s,
ride082_4,205,ride_s,
ride6018_5,,ride_stand_walk,
ride6018_6,,ride_s,
ride6018_7,,ride_s,
ride6022_3,,ride_s,
ride028_a,,ride_s,
ride2001_05,,ride_s,
ride200_4,,ride_s,
lionking,,ride_s,
SK_4,,ride_hulu,
ride028_b,,ride_s,
ride028_c,,ride_s,
ride028_d,,ride_s,
ride033_a,,ride_s,
ride033_b,,ride_s,
ride033_c,,ride_s,
ride033_d,,ride_s,
Baleiazul,170,ride_s,
Cobra,170,ride_s,
Rena,170,ride_s,
Tapete,,ride_stand_walk,
plantfloater,,ride_stand_walk,
icefloater,,ride_stand_walk,
flamefloater,,ride_stand_walk,
thundersword,,ride_stand_walk,
brownbear,,ride_s,
pumpkin,,ride_stand_walk,
blueskullsword,,ride_stand_walk,
goldensword,,ride_stand_walk,
azuresword,,ride_stand_walk,
ride6008_1,,ride_s,
ride6008_2,,ride_s,
ride6008_3,,ride_s,
ride6008_4,,ride_s,
ride034_a,,ride_s,
ride034_b,,ride_s,
ride034_c,,ride_s,
ride034_d,,ride_s,
ride026_1,,ride_stand_walk,
ride026_2,,ride_stand_walk,
ride026_3,,ride_stand_walk,
ride026_4,,ride_stand_walk,
ride059dm_1,,ride_stand_walk,
ride059dm_2,,ride_stand_walk,
ride059dm_3,,ride_stand_walk,
ride059dm_4,,ride_stand_walk,
ride2001_01,,ride_stand_walk,
ride2001_02,,ride_stand_walk,
ride2001_03,,ride_stand_walk,
ride056dm_4,,ride_s,
ride054dm_4,,ride_s,
ride025_1,,ride_stand_walk,
ride025_2,,ride_stand_walk,
ride025_3,,ride_stand_walk,
ride025_4,,ride_stand_walk,
horse012_4,205,ride_s,
horse014_4,205,ride_s,
horse015_4,205,ride_s,
horse017_4,205,ride_s,
horse018_4,205,ride_s,
horse019_4,205,ride_s,
ride075_4,205,ride_s,
rides20,,ride_s,
rides15,,wait_ride,
rides32,205,ride_l,
rides17,,wait_ride,
ride030a_1,,ride_s,0
ride030a_2,,ride_s,0
ride030a_3,,ride_s,0
ride030a_4,,ride_s,0
ride070_4,,ride_s,
ride071_4,,ride_s,
ride6011_4,,ride_s,
ride6018_9,,ride_s,
ride069_4,,ride_s,
ride078_4,,ride_s,
rides30,,ride_s,
ride086_4,,ride_s,
ride073_4,,ride_s,
ride083_4,,ride_s,
ride079_4,,ride_s,
ride080_4,,ride_s,
ride076_4,,ride_s,
ride077_4,,ride_s,
