编号,名称,部件,效果1个,效果2个,效果3个,效果4个,效果5个,效果6个,效果7个,效果8个,效果9个,效果10个,Icon,特效,特效link,特效(女),特效link(女)
135,BORings7,6546;6547,,"AddDeltaCriticalDmg(0,0.1);AddDeltaCriticalDmg(1,0.1);AddDeltaCriticalDmg(2,0.1);AddDeltaCriticalDmg(3,0.1);AddDeltaCriticalDmg(4,0.1);AddDeltaCriticalDmg(5,0.1)",,,,,,,,,,,,,
136,BORings8,6548;6549,,"AddDeltaCriticalDmg(0,0.2);AddDeltaCriticalDmg(1,0.2);AddDeltaCriticalDmg(2,0.2);AddDeltaCriticalDmg(3,0.2);AddDeltaCriticalDmg(4,0.2);AddDeltaCriticalDmg(5,0.2)",,,,,,,,,,,,,
137,BORings9,6550;6551,,"AddDeltaCriticalDmg(0,0.3);AddDeltaCriticalDmg(1,0.3);AddDeltaCriticalDmg(2,0.3);AddDeltaCriticalDmg(3,0.3);AddDeltaCriticalDmg(4,0.3);AddDeltaCriticalDmg(5,0.3)",,,,,,,,,,,,,
138,BORingsTamer,6552;6553,,"AddDeltaCriticalDmg(0,0.5);AddDeltaCriticalDmg(1,0.5);AddDeltaCriticalDmg(2,0.5);AddDeltaCriticalDmg(3,0.5);AddDeltaCriticalDmg(4,0.5);AddDeltaCriticalDmg(5,0.5);SkillAddDamage(651,400);SkillAddDamage(664,400)",,,,,,,,,,,,,
139,BORingsFairy,6554;6555,,"AddDeltaCriticalDmg(0,0.5);AddDeltaCriticalDmg(1,0.5);AddDeltaCriticalDmg(2,0.5);AddDeltaCriticalDmg(3,0.5);AddDeltaCriticalDmg(4,0.5);AddDeltaCriticalDmg(5,0.5);SkillAddDamage(323,400);SkillAddDamage(331,400)",,,,,,,,,,,,,
140,BORingsAssasin,6556;6557,,"AddDeltaCriticalDmg(0,0.5);AddDeltaCriticalDmg(1,0.5);AddDeltaCriticalDmg(2,0.5);AddDeltaCriticalDmg(3,0.5);AddDeltaCriticalDmg(4,0.5);AddDeltaCriticalDmg(5,0.5);SkillAddDamage(564,400);SkillAddDamage(553,400)",,,,,,,,,,,,,
141,BORingsWizzard,6558;6559,,"AddDeltaCriticalDmg(0,0.5);AddDeltaCriticalDmg(1,0.5);AddDeltaCriticalDmg(2,0.5);AddDeltaCriticalDmg(3,0.5);AddDeltaCriticalDmg(4,0.5);AddDeltaCriticalDmg(5,0.5);SkillAddDamage(232,400);SkillAddDamage(232,400);SkillAddDamage(253,400)",,,,,,,,,,,,,
142,BORingsMonk,6560;6561,,"AddDeltaCriticalDmg(0,0.5);AddDeltaCriticalDmg(1,0.5);AddDeltaCriticalDmg(2,0.5);AddDeltaCriticalDmg(3,0.5);AddDeltaCriticalDmg(4,0.5);AddDeltaCriticalDmg(5,0.5);SkillAddDamage(462,500);SkillAddDamage(462,500);SkillAddDamage(431,500)",,,,,,,,,,,,,
148,"SetPLWizzard","15030;15031;15032;15033;15034;15035",,AddWis(120),AddCon(80),"AddDeltaCriticalRate(0,0.08);AddDeltaCriticalRate(1,0.08);AddDeltaCriticalRate(2,0.08);AddDeltaCriticalRate(3,0.08);AddDeltaCriticalRate(4,0.08);AddDeltaCriticalRate(5,0.08)","AddDmgRate(2,8)","SkillAddCdTime(212,-2000);SkillAddCdTime(252,-2000)",,,,,"ic_ide008",eff_thund_dot,root
149,"SetPLMonk","15036;15037;15038;15039;15040;15041",,AddStr(120),AddCon(80),"AddDeltaCriticalRate(0,0.08);AddDeltaCriticalRate(1,0.08);AddDeltaCriticalRate(2,0.08);AddDeltaCriticalRate(3,0.08);AddDeltaCriticalRate(4,0.08);AddDeltaCriticalRate(5,0.08)","AddDmgRate(1,8);","SkillAddDamage(412,350);SkillAddDamage(462,350)",,,,,"ic_idf008",eff_thund_dot,root
150,"SetPLFairy","15042;15043;15044;15045;15046;15047",,AddCon(80),AddWis(120),"AddDeltaCriticalRate(0,0.08);AddDeltaCriticalRate(1,0.08);AddDeltaCriticalRate(2,0.08);AddDeltaCriticalRate(3,0.08);AddDeltaCriticalRate(4,0.08);AddDeltaCriticalRate(5,0.08)","AddDmgRate(4,8)","SkillAddCdTime(301,-1000);SkillAddCdTime(321,-1000)",,,,,"ic_idb008",eff_thund_dot,root
151,"SetPLAssasin","15048;15049;15050;15051;15052;15053",,AddDex(120),AddCon(80),"AddDeltaCriticalRate(0,0.08);AddDeltaCriticalRate(1,0.08);AddDeltaCriticalRate(2,0.08);AddDeltaCriticalRate(3,0.08);AddDeltaCriticalRate(4,0.08);AddDeltaCriticalRate(5,0.08)","AddDmgRate(4,8);","SkillAddCriticalRate(503,0.1);SkillAddCriticalRate(553,0.1)",,,,,"ic_idq008",eff_thund_dot,Bip_pq,,
152,"SetPLTamer","15054;15055;15056;15057;15058;15059",,AddWis(120),AddCon(80),"AddDeltaCriticalRate(0,0.08);AddDeltaCriticalRate(1,0.08);AddDeltaCriticalRate(2,0.08);AddDeltaCriticalRate(3,0.08);AddDeltaCriticalRate(4,0.08);AddDeltaCriticalRate(5,0.08)","AddDmgRate(2,8);","SkillAddDamage(602,150);SkillAddDamage(652,150)",,,,,"ic_idf008",eff_thund_dot,root
143,"SetWPWizz","15000;15001;15002;15003;15004;15005",,AddCon(180),AddDex(200),"AddDeltaCriticalRate(3,0.1)","AddDmgRate(3,10)","SkillAddUseMp(511,-5);SkillAddUseMp(561,-5)",,,,,"ic_ide008",eff_westpalaceset,root
144,"SetWPMonk","15006;15007;15008;15009;15010;15011",,AddCon(180),AddWis(200),"AddDeltaCriticalRate(1,0.1)","AddDmgRate(1,10)","SkillAddPreTime(202,-300);SkillAddPreTime(232,-300)",,,,,"ic_idf008",eff_westpalaceset,root
145,"SetWPFay","15012;15013;15014;15015;15016;15017",,AddCon(180),AddWis(200),"AddDeltaCriticalRate(2,0.1)","AddDmgRate(2,10)","SkillAddCriticalRate(601,0.1);SkillAddCriticalRate(651,0.1)",,,,,"ic_idb008",eff_westpalaceset,root
146,"SetWPSin","15018;15019;15020;15021;15022;15023",,AddCon(220),AddStr(280),"AddDeltaCriticalRate(1,0.1)","AddDmgRate(1,10)","SkillAddCriticalRate(411,0.3);SkillAddCriticalRate(461,0.3)",,,,,"ic_idq008",eff_westpalaceset,root
147,"SetWPTamer","15024;15025;15026;15027;15028;15029",,AddCon(200),AddWis(220),"AddDeltaCriticalRate(5,0.12)","AddDmgRate(5,0.12)","SkillAddPreTime(305,-500);SkillAddPreTime(335,-500)",,,,,"ic_idx008",eff_westpalaceset,root
153,"TalismanSin","15081;15082","AddCon(700)","AddDex(500)",,,,,,,,,,,
154,"TalismanTam","15083;15084","AddCon(700)","AddWis(500)",,,,,,,,,,,
155,"TalismanWiz","15085;15086","AddCon(700)","AddWis(500)",,,,,,,,,,,
156,"TalismanMon","15087;15088","AddCon(700)","AddStr(500)",,,,,,,,,,,
157,"TalismanFay","15089;15090","AddCon(700)","AddWis(500)",,,,,,,,,,,
