编号,名字,分组ID,类型,出现物品,出现概率,绿色几率,蓝色几率,金色几率,暗金几率,天蓝几率,翡翠绿几率,白金几率
160,09春节大红包(越南),58,2,100000;200000;350000,50;24;10,,,,,,,
161,新年小礼包(越南),59,1,4295;3985;1035;383;3878,50;32;15;2;1,,,,,,,
162,新年礼包(越南),60,1,4296;3986;3462;4125;1172;4052;3877,45;30;10;10;2;2;1,,,,,,,
163,星环宝袋,61,1,4270;4271;4272;4273,25;25;25;25,,,,,,,
164,情人节玫瑰,62,1,3498;3501;4321;3969,30;30;30;10,,,,,,,
165,情人节巧克力,63,1,4324;4325;4322;4323,30;30;30;10,,,,,,,
166,神奇红线包(越南),64,1,4347;4348;4349,34;33;33,,,,,,,
167,翻斗乐扭蛋,65,1,4354;4355;4356;4357;4358;4359;4360;4426;,13;12;13;12;13;12;13;12,,,,,,,
168,沁心丸,66,3,10000;15000;20000;25000;30000,30;25;20;15;10,,,,,,,
169,醒神丸,67,4,5000;8000;10000;12000;15000,30;25;20;15;10,,,,,,,
170,宠物精灵袋,68,1,3991;3992;3486;3488;3487;3489;531;533,13;13;13;13;12;12;12;12,,,,,,,
171,神秘箱子,69,1,4501;4502;4503;3969;3970;3971,24;20;10;30;10;6,,,,,,,
172,天尊情深意粽,70,3,5000;6666;8888,10;10;10,,,,,,,
173,天尊情深意粽,70,4,5000;6666;8888,10;10;10,,,,,,,
174,天尊情深意粽,70,1,4518;4519;4520;4521,10;10;10;10,,,,,,,
175,屈原情深意粽,71,3,5500;8888;9999,10;10;10,,,,,,,
176,屈原情深意粽,71,4,5500;8888;9999,10;10;10,,,,,,,
177,屈原情深意粽,71,1,4518;4519;4520;4521;4522,10;10;10;9;1,,,,,,,
178,端午极致雄黄酒（台湾）,72,1,4526;4527;4528;4529;4523;4530;4048;4047;3505,50;15;10;10;10;2;1;1;1,,,,,,,
179,端午极致雄黄酒（大马）,73,1,4531;4530;4532;4528;4527;4533;4048;4047;3505;4168,45;20;10;10;9;2;1;1;1;1,,,,,,,
180,端午香包（台湾）,74,1,404;401;1160;3462;1017;1172;3861;3863;3864;4196;4197;4545,35;20;15;10;9;5;1;1;1;1;1;1,,,,,,,
181,端午宝袋（台湾）,75,1,4190;4546,50;50,,,,,,,
182,端午节变身棒（台湾）,76,1,4551;4552;4553,34;33;33,,,,,,,
183,坐骑礼袋(台湾),77,1,4048;4047;3482;3484;3483;3485;1200,5;5;5;5;15;15;50,,,,,,,
184,坐骑礼袋(台湾绑定),78,1,4766;4767;4768;4770;4769;4771;4772,5;5;5;5;15;15;50,,,,,,,
185,天尊宝盒(韩国),79,1,3506;4851;4853;4850;4852;403;402,1;2;10;7;20;15;5,,,,,,,
186,天尊宝盒(韩国),79,2,300000;200000;150000,5;10;25,,,,,,,
187,77巧克力礼盒(台湾版),80,1,3499;3502;4909;3462;4910;3711;4754;4168;4834,20;20;20;15;15;7;1;1;1,,,,,,,
188,宝物箱(韩国),81,1,6167;4990;5995;6145;5993;5994;4991;4992;4993;4994,0.1;0.4;0.48;0.5;12.75;12.75;19.02;18;18;18,,,,,,,
189,莲蓉月饼,82,4,666;1666;2666;3666;4666,40;30;20;5;5,,,,,,,
190,冰心月饼,83,3,666;1666;2666;3666;4666,40;30;20;5;5,,,,,,,
191,天尊麻豆文旦,84,1,1160;3985;1017;3953;3952;4489;4465;4204;4200;4696;4694;4973,23;20;20;13;7;5;3;2;2;2;2;1,,,,,,,
192,中秋月圓變身卷,85,1,4975;4976;4977;,33;34;33;,,,,,,,
193,侠客宝盒(韩国),86,1,5551;3506;4850;403;4999;4998;405,0.4;1.1;2;5;10;12;7.5,,,,,,,
194,侠客宝盒(韩国),86,2,300000;250000;200000,11;23;28,,,,,,,
195,双黄莲蓉月饼,87,4,1000;2000;3000;4000,25;25;25;25,,,,,,,
196,TO周年庆大礼包,88,1,5611;5612;5613;5614;5615;5616;,4;2.5;2.5;16;15;20,,,,,,,
197,TO周年庆大礼包,88,2,20000,40,,,,,,,
198,TO周年庆礼袋,89,1,5611;5618;5619;5614;5615;5620;,2;10;10;10;28;20,,,,,,,
199,TO周年庆礼袋,89,2,5000,20,,,,,,,
200,黄金宝盒(韩国),90,1,5622;3709;4776;1153;1016,0.2;11;10;5;15,,,,,,,
201,黄金宝盒(韩国),90,2,3000000;1000000;400000;300000,0.5;3.3;20;35,,,,,,,
202,天尊麻豆文旦,91,1,1159;3985;1134;5625;5627;5626;4489;4465;4973;4463;4696;4695,27;17;17;10;10;10;5;2;1;0.8;0.1;0.1,,,,,,,
203,月熊宝箱,92,1,3484;4566;4562;4234;1159,8;12;20;28;24,,,,,,,
204,月熊宝箱,92,2,300000,8,,,,,,,
205,黄金礼袋,93,1,3488;4565;4562;4725;4226;1158,0.5;7;5.5;29;29;29,,,,,,,
206,封魔使者的谢礼（韩国）,94,1,5661,20,,,,,,,
207,封魔使者的谢礼（韩国）,94,2,10000;20000;30000;40000,16;11;8;5,,,,,,,
208,封魔使者的谢礼（韩国）,94,4,6000;12000;18000;24000,16;11;8;5,,,,,,,
209,成都宝盒（韩国）,95,1,4695;5551;4776;4791;4850;403;4998;,0.2;0.4;8;9;2;6;12.4,,,,,,,
210,成都宝盒（韩国）,95,2,500000;400000;300000,8;26;28,,,,,,,
211,喜从天降礼盒(台湾),96,1,404;401;1160;3462;1017;1172;3861;3863;3864;4196;4197;5695,35;20;15;10;9;5;1;1;1;1;1;1,,,,,,,
212,喜从天降宝袋(台湾),97,1,4190;5696,50;50,,,,,,,
213,小圣诞礼物包,98,1,5737;5738;5733;5734;5735;5736;,15;15;10;10;25;25;,,,,,,,
214,圣诞礼物包,99,1,5744;5762;5763;5739;5734;5735;5736;,5;15;15;10;10;20;25;,,,,,,,
215,高级圣诞礼物包,100,1,5912;5913;5744;5762;5763;5740;5741;5734;,2;2;10;15;15;10;23;23;,,,,,,,
216,豪华圣诞礼物包,101,1,5742;5743;5912;5913;5764;5756;5741;5734;,1;1;10;10;10;20;20;28;,,,,,,,
217,祝福礼包,102,1,5745;5746;5747;5748;5749;5750;,60;20;15;3;1;1;,,,,,,,
218,小圣诞礼物包,103,1,5757;5758;5759;5760;5744;5737;5738;,25;25;20;10;10;5;5;,,,,,,,
219,圣诞礼物包,104,1,5761;5765;5958;5912;5767;5768;5770;,20;20;20;20;10;5;5;,,,,,,,
220,高级圣诞礼物包,105,1,5742;5769;5913;5772;5773;5771;5774;,25;25;20;10;10;5;5;,,,,,,,
221,豪华圣诞礼物包,106,1,5793;5794;5805;5807;5810;5771;,25;25;21;3;1;25;,,,,,,,
222,豪华圣诞礼物包,107,1,5811;5812;5823;5825;5828;5896;,25;25;21;3;1;25;,,,,,,,
223,精灵变身包,108,1,5795;5796;5797;5798;5799;5800;5801;5802;5803;5804;,10;10;10;10;10;10;10;10;10;10;,,,,,,,
224,圣诞雪花包,109,1,5826;5827;,50;50;,,,,,,,
225,圣诞雪花包,110,1,5844;5845;,50;50;,,,,,,,
226,圣诞礼物包,111,1,5830;5831;5832;5833;5834;5835;5836;,20;20;20;20;10;5;5;,,,,,,,
227,高级圣诞礼物包,112,1,5837;5838;5839;5840;5841;5842;5843;,25;25;20;10;10;5;5;,,,,,,,
228,圣诞雪花包,113,1,5857;5858;,50;50;,,,,,,,
229,圣诞礼物包,114,1,5761;5765;5768;5912;5767;5836;5850;5849;,20;10;4;20;10;13;13;10;,,,,,,,
230,高级圣诞礼物包,115,1,5913;5742;5756;5852;5853;5770;5851;5774;,20;25;20;10;10;5;5;5;,,,,,,,
231,豪华圣诞礼物包,116,1,5812;5854;5855;5856;5823;4694;4169;5859;,25;25;20;20;7;1;1;1,,,,,,,
232,祝福礼包,117,3,1288;6888;,20;15;,,,,,,,
233,祝福礼包,117,4,1288;6888;,20;15;,,,,,,,
234,祝福礼包,117,2,1000;,15;,,,,,,,
235,祝福礼包,117,1,5865;,15;,,,,,,,
236,超级乐透,118,1,4105;5866;5867;5868;5719;5721;,1;4;8;7;16;13;,,,,,,,
237,超级乐透,118,2,1000000;300000;200000;150000;,1;10;15;25;,,,,,,,
238,圣诞驯鹿包,119,1,5907;5908;,50;50;,,,,,,,
239,精灵变身包,120,1,5813;5814;5815;5816;5817;5818;5819;5820;5821;5822;,10;10;10;10;10;10;10;10;10;10;,,,,,,,
240,豪华圣诞礼物包,121,1,5914;5915;5916;5917;5918;5919;5920;5923;,25;25;20;20;7;1;1;1,,,,,,,
241,祝福礼包,122,1,5932;5933;5934;5935;5936;5937;,50;25;15;5;3.5;1.5;,,,,,,,
242,黄金宝盒(越南),123,2,300000;400000,20;20,,,,,,,
243,黄金宝盒(越南),123,1,5951;5952;5953;,20;20;20,,,,,,,
244,黄金宝盒(越南),124,2,300000;400000,20;20,,,,,,,
245,黄金宝盒(越南)不绑定,124,1,5954;5955;5956;,20;20;20,,,,,,,
246,铁匠的中礼包,125,1,5989,33,,,,,,,
247,铁匠的中礼包,125,1,5990,33,,,,,,,
248,铁匠的中礼包,125,1,5990,33,,,,,,,
249,铁匠的中礼包,125,1,5990,1,,,,,,,
250,铁匠的大礼包,126,1,5990,33,,,,,,,
251,铁匠的大礼包,126,1,5991,33,,,,,,,
252,铁匠的大礼包,126,1,5991,33,,,,,,,
253,铁匠的大礼包,126,1,5991,1,,,,,,,
254,铁匠的小礼包,127,1,5988,33,,,,,,,
255,铁匠的小礼包,127,1,5989,33,,,,,,,
256,铁匠的小礼包,127,1,5989,33,,,,,,,
257,铁匠的小礼包,127,1,5989,1,,,,,,,
258,慈云宝盒（韩国）,128,1,5984;5551;5983;1153;4776;4791;403;4996,0.5;0.5;3.5;14;13;13;9;9,,,,,,,
259,慈云宝盒（韩国）,128,2,500000;300000,22;15.5,,,,,,,
260,圣诞雪花包(台湾绑定),129,1,5808;5809;,50;50;,,,,,,,
261,圣诞雪花包(越南绑定),130,1,5921;5922;,50;50;,,,,,,,
262,天使宝盒,131,1,3505;3718;3771;3942;,2;2;2;42,,,,,,,
263,天使宝盒,131,2,200000,52,,,,,,,
264,星运宝盒,132,1,1253;1252;6044;6045;6046;6047;4946;6041;6042;4949,0.5;1;1;2;3.5;2;15;30;25;20,,,,,,,
265,黄金乐透包,133,1,4463;5677;4794;4105;5866;5721;5719,0.3;1.2;1.2;1.5;4.8;25;30,,,,,,,
266,黄金乐透包,133,2,500000;300000;200000,4;10;22,,,,,,,
267,虎虎生风红包（绑定）,134,1,6063;6064;6065;6066;6067;6068;6069;6070;6071;6072,25;25;5;3;1;15;15;5;5;1,,,,,,,
268,虎虎生风红包,135,1,6075;6076;6077;6078;6079;6080;6081;6082;6083;6084,25;25;5;3;1;15;15;5;5;1,,,,,,,
269,如虎添翼红包,136,1,4820;1160;1017;6089;6090;6091;6092;6093;6094,25;25;20;10;5;5;4;3;3,,,,,,,
270,跑的飞快宝袋,137,1,3485;3483;3484;3482;4047;4048;4049;4050;4196;4197;4694;4695,25;25;20;10;4;4;2;2;2;2;2;2,,,,,,,
271,呼叫天使宝袋,138,1,3717;4536;4537;3940;3941,30;20;20;15;15,,,,,,,
272,练功第一宝袋,139,1,3462;3711;3464;3505;4168;5825,25;25;20;15;10;5,,,,,,,
273,最爱指环宝袋,140,1,3923;4270;4273;4271;4272;4834;4546;5826,20;15;15;15;15;10;5;5,,,,,,,
274,幸运之星宝袋,141,1,1172;3878;4157;4182;3771;4237;4238;4754,20;15;15;15;15;10;8;2,,,,,,,
275,青螺宝盒宝袋,142,1,6096;5551;6101;1251;4791;402;405;4311,0.5;0.7;7;4;16;10;10;13.3,,,,,,,
276,青螺宝盒宝袋,142,2,500000;700000,22;16.5,,,,,,,
277,福上福宝袋,143,1,6148;4052;6116;6117;6118;6119;6120,1;1;19;19.5;19.5;20;20,,,,,,,
278,强效宝袋,144,1,6126;5551;6095;6101;4776;4791;403;406,0.15;0.5;1.3;11.05;12;15;12.5;12.5,,,,,,,
279,强效宝袋,144,2,700000;500000,12;23,,,,,,,
280,越南2010新年礼包（小）,145,1,1158;3451;5599;1155;1151;6134;6139;6140;6132;6133;4743;3489;3487;533;531,20;15;9;8;8;6;5;5;4;4;4;3;3;3;3,,,,,,,
281,越南2010新年礼包（中）,146,1,1153;1157;5626;5627;6137;6138;3709;5955;3711;3462;3486;530;383;3448;4763,15;15;11;11;9;9;9;9;3;3;1.5;1.5;1.5;1;0.5,,,,,,,
282,越南2010新年礼包（特）,147,1,4913;5875;4108;6135;6136;1051;4176;3895;1018;1028;4344;3709;3771;3482;4694,18.4;13;13;10;10;9;7;7;5;5;1;1;0.5;0.05;0.05,,,,,,,
283,幸运乐透包,148,1,4463;1250;4166;4793;5866;403;406;5721;5719,0.5;1;1.5;2;6;16;17;20;21,,,,,,,
284,幸运乐透包,148,2,400000,15,,,,,,,
285,幸运宝袋,149,1,6126;5551;5715;6101;4776;4791;1153;4198,0.15;0.5;1.5;12.05;11;14.80;10;15,,,,,,,
286,幸运宝袋,149,2,700000;500000,12;23,,,,,,,
294,灵魂宝盒（韩国）,156,1,6098;6126;5715;4792;6273;4791;6242;4198;4202,0.05;0.15;1.5;10.45;14;13;7.7;14;16.15,,,,,,,
295,灵魂宝盒（韩国）,156,2,500000,23,,,,,,,
296,时来运转包（台湾）,157,1,6275;3505;5769;4819;3776,1;3;6;40;50,,,,,,,
297,复活节宝石彩蛋,158,1,6284;6293;6294;6289;6290;6291;6292,4;20;30;2.5;15.5;6;6,,,,,,,
298,复活节宝石彩蛋,158,2,15000,16,,,,,,,
299,复活节黄金彩蛋,159,1,6285;6286;6287;6288;6290;6291;6292,4;20;30;2.5;15.5;6;6,,,,,,,
300,复活节黄金彩蛋,159,2,30000,16,,,,,,,
301,凤凰宝箱,160,1,6295;6282;403;6296;6297;406;6298;6299,0.2;2.0;10;15;22.8;10;15;25,,,,,,,
330,变身药效丹,189,1,6165;6166;6149;6150;6024;6025;6336;6337,11;11;13;13;13;13;13;13,,,,,,,
331,灵魂宝盒（韩国）,190,1,6126;5551;5715;6341;6273;4791;6242;4198;,0.15;0.5;2;4;13;16;15.35;13,,,,,,,
332,灵魂宝盒（韩国）,190,2,700000;500000,13;23,,,,,,,
333,火焰乐透包（菲律宾）,191,1,4463;4694;4165;5502;4105;5866;6043;5721;5719,1.2;0.3;2;2;5;7.5;20;22;24,,,,,,,
334,火焰乐透包（菲律宾）,191,2,500000,16,,,,,,,
485,DrizzleWizard,485,1,840;841;842;843;844;845;5524;5957;6278,10;10;10;25;20;20;30;30;27,,,,,,,
486,DrizzleMonk,486,1,846;847;848;849;850;851;5524;5957;6278,10;10;10;25;20;20;30;30;27,,,,,,,
487,DrizzleFairy,487,1,852;853;854;855;856;857;5524;5957;6278,10;10;10;25;20;20;30;30;27,,,,,,,
488,DrizzleAssassin,488,1,858;859;860;861;862;863;5524;5957;6278,10;10;10;25;20;20;30;30;27,,,,,,,
489,DrizzleTamer,489,1,864;865;866;867;868;869;5524;5957;6278,10;10;10;25;20;20;30;30;27,,,,,,,
490,凤凰宝箱,490,1,4106;6299;6297,20;40;40,100;100;100,,,,,,
