程序导标记，不用翻译,,
STRID,LAN,Remark
help_910_fail_1,"Click ""Go Down the Mountain""",
help_910_desc,"Press ""T"" to open quest list.  Click ""Go Down the Mountain"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_909_title,Check Quest,
help_909_fail_1,Click here to check quest list.,
help_909_desc,"Open ""T"" or press the blue icon to open quest list.",
help_907_title,Open Quest Window,
help_907_fail_1,"Click ""Accept Quest""",
help_907_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_906_title,Click the Quest,
help_906_fail_1,"Click ""Go Down the Mountain""",
help_906_desc,"You can see the acceptable quest ""Go Down the Mountain"" in the dialogue.",
help_905_title,Talk to NPC,
help_905_desc,Click NPC to open dialogue window.,
help_904_title,Close Quest Window,
help_904_fail_1,"You can close the quest window now.  Iron Arms Lee is just around you, please go to accept quest from him.",
help_904_desc,"Iron Arms Lee is just around you, please go to accept quest from him",
help_903_title,Check Today's Acceptable Quest,
help_903_fail_2,"Click "" Iron Arms Lee"" to auto-path to his location.",
help_903_fail_1,"Click ""Today's Acceptable Quest""",
help_903_desc,"Click ""Today's Acceptable Quest"", then you can check current acceptable quests and NPC.",
help_902_title,Current Acceptable Quest,
help_902_fail_1,Click here to check quest list.,
help_902_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_9_title,Check Quest Info,
help_9_fail_1,Click here to check quest list.,
help_9_desc,Open Quest List to check Quest info.,
help_820_title,Finish Quest,
help_820_fail_1,"Click ""Accomplish Quest""",
help_820_desc,"Click the quest ""Test"" to check more info.  Go to finish this quest and get your rewards.",
help_819_title,Open Finished Quest window,
help_819_fail_1,"Click ""Test""",
help_819_desc,"Click the quest ""The Test"" below the ""Quests could be finished"" to report this quest and get rewards.",
help_818_title,Talk to Quest NPC to Report Quest (2),
help_818_desc,"Go to find the NPC and right click him to open dialogue window.  Then click the green quest name ""The Test"" below ""Quests could be finished"" to get rewards.",
help_817_title,Talk to Quest NPC to Report Quest (1),
help_817_fail_1,"You can close the quest window now.  Iron Arms Lee is just around you, please go to accept quest from him.",
help_817_desc,Please go to visit the NPC who has a question mark over his head to report your quest.  Then this quest will be finished.,
help_816_title,Quest Notify Spot,
help_816_fail_2,"Click the green name of ""Iron Arms Lee"" below ""Quest Notify Spot"" to auto-path to the NPC's location.",
help_816_fail_1,"Click the quest ""The Test"".",
help_816_desc,"Open ""T"" to open quest list and left click ""Test"".  Then click the green name of the NPC below the ""Quest Notify Spot"" to auto-path to his location.",
help_815_title,Check Quest Info,
help_815_fail_1,Click here to check quest list.,
help_815_desc,"Open ""T"" or press the blue icon to open quest list.",
help_813_title,Duel,
help_813_fail_1,"Click ""OK"" to start Duel.",
help_813_desc,Switch to common Item Bar.,
help_812_title,Open Item Bar,
help_812_desc,"Please press ""I"" or click ""Item"" button to open Item Box.",
help_811_title,Close Quest Window,
help_811_fail_1,"Nanmu Guard is just near around, you can close the window now.",
help_811_desc,You can close the quest window after you've found the NPC.,
help_810_title,Find NPC,
help_810_fail_2,"Click ""Nanmu Guard"" to auto-path.",
help_810_fail_1,"Click ""Test""",
help_810_desc,The underlined words below the quest name is the quest NPC's name.  Click the name to auto-path to his location.,
help_809_title,Check Quest Info,
help_809_fail_1,Click here to check quest list.,
help_809_desc,"Open ""T"" or press the blue icon to open quest list.",
help_807_title,Open Quest Window,
help_807_fail_1,"Click ""Accept Quest""",
help_807_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_806_title,Click Quest,
help_806_fail_1,"Click ""The Test""",
help_806_desc,"You can see the acceptable quest ""The Test"" in the dialogue.",
help_805_title,Talk to NPC,
help_805_desc,Click NPC to open dialogue window.,
help_804_title,Close Quest Window,
help_804_fail_1,"You can close the quest window now.  Iron Arms Lee is just around you, please go to accept quest from him.",
help_804_desc,"Iron Arms Lee is just around you, please go to accept quest from him",
help_803_title,Check Current Acceptable Quest,
help_803_fail_2,"Click ""Iron Arms Lee"" to auto-path to his location.",
help_803_fail_1,"Click ""Current Acceptable Quest""",
help_803_desc,"Click ""Today's Acceptable Quest"", then you can check current acceptable quests and NPC.",
help_802_title,Current Acceptable Quest,
help_802_fail_1,Click here to check quest list.,
help_802_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_714_title,Finish Quest,
help_714_fail_1,"Click ""Accomplish Quest""",
help_714_desc,"Click the quest ""The Secret of Blood Eidolons"" to check detailed info.  Go to finish this quest and get rewards.",
help_713_title,Open Finished Quest Window,
help_713_fail_1,"Click ""The Secret of Blood Eidolons""",
help_713_desc,"Talk to NPC and click the ""The Secret of Blood Eidolons"" to report the quest and get your rewards.",
help_712_title,Talk to Quest NPC to Report Quest (2),
help_712_desc,"Go to find the NPC and right click him to open dialogue window.  Then select the quest ""The Secret of Blood Eidolon"" below the ""Quests could be finished"" to finish it.",
help_711_title,Talk to Quest NPC to Report Quest (1),
help_711_fail_1,"You can close the quest window now.  Iron Arms Lee is just around you, please go to accept quest from him.",
help_711_desc,Please go to visit the NPC who has a question mark over his head to report your quest.  Then this quest will be finished.,
help_710_title,Quest Notify Spot,
help_710_fail_2,"Click the green name of ""Iron Arms Lee"" below ""Quest Notify Spot"" to auto-path to the NPC's location.",
help_710_fail_1,"Click the Quest ""The Secret of Blood Eidolons""",
help_710_desc,"Press ""T"" to open quest list.  Click ""The Secret of Blood Eidolons"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_709_title,Check Quest Info,
help_709_fail_1,Click here to check quest list.,
help_709_desc,"Open ""T"" or press the blue icon to open quest list.",
help_707_title,Open Accept Quest Window,
help_707_fail_1,"Click ""Accept Quest""",
help_707_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_706_title,Click Quest,
help_706_fail_1,"Click ""The Secret of Blood Eidolons""",
help_706_desc,"You can see the acceptable quest ""The Secret of Blood Eidolons"" in the dialogue.",
help_705_title,Talk to NPC,
help_705_desc,Click NPC to open dialogue window.,
help_704_title,Close Quest Window,
help_704_fail_1,"You can close the quest window now.  Iron Arms Lee is just around you, please go to accept quest from him.",
help_704_desc,"Iron Arms Lee is just around you, please go to accept quest from him",
help_703_title,Check Current Acceptable Quest,
help_703_fail_2,"Click ""Iron Arms Lee"" to auto-path to his location.",
help_703_fail_1,"Click ""Current Acceptable Quest""",
help_703_desc,"Click ""Today's Acceptable Quest"", then you can check current acceptable quests and NPC.",
help_702_title,Current Acceptable Quest,
help_702_fail_1,Click here to check quest list.,
help_702_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_7_title,Accept Quest,
help_7_fail_1,"Click ""Accept""",
help_7_desc,"If you agree to accept this quest, please click the ""Accept"" button.  If you don't want to accept it now, please click ""Close"" button.",
help_623_title,Finish Quest,
help_623_fail_1,"Click ""Accomplish Quest""",
help_623_desc,"Click ""Kill the Big Blood Eidolon"" to open the details of the quest.  Go to finish this quest and get rewards.",
help_622_title,Open Finished Quest window,
help_622_fail_1,"Click ""Kill the Big Blood Eidolon""",
help_622_desc,"Please click ""Kill the Big Blood Eidolon"" to finish the quest and get your rewards.",
help_621_title,Talk to Quest NPC to Report Quest (2),
help_621_desc,"Go to find the NPC and right click him to open dialogue window.  Then select the quest ""Kill the Big Blood Eidolon"" below the ""Quests could be finished"" to finish it.",
help_620_title,Talk to Quest NPC to Report Quest (1),
help_620_fail_1,"You can close this window now.  Buddhist Novice Ming is just near around, please report quest to him.",
help_620_desc,Please go to visit the NPC who has a question mark over his head to report your quest.  Then this quest will be finished.,
help_619_title,Quest Notify Spot,
help_619_fail_2,"Click the green name of ""Buddhist Novice Ming"" below ""Quest Notify Spot"" to auto-path to the NPC's location.",
help_619_fail_1,"Click the Quest ""Kill the Big Blood Eidolon""",
help_619_desc,"Press ""T"" to open quest list.  Click ""Kill the Big Blood Eidolon"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_618_title,Check Quest Info,
help_618_fail_1,Click here to check quest list.,
help_618_desc,"You have finished the quest ""Kill the Big Blood Eidolon"", please open the quest window to check info.",
help_616_title,Kill the Big Blood Eidolon,
help_616_desc,Click the Big Blood Eidolon and kill them.,
help_615_title,Close Item Use Window,
help_615_fail_1,"You have used the item, now you can close the window.",
help_615_desc,You have used the Blood Charm successfully and the Big Blood Eidolon has been summoned out.,
help_614_title,Use Required Item,
help_614_fail_1,Right click the Blood Charm to summon the Big Blood Eidolon ,
help_614_desc,Right click the quest item as required by the system.,
help_613_title,Switch to Common Item Bar,
help_613_fail_1,Click here to switch to common item bar.,
help_613_desc,Right click the quest item to use.,
help_612_title,Open Item Box,
help_612_fail_1,Click here to open Item window.,
help_612_desc,"Press ""I"" or click the ""Item"" button to open Item Box.",
help_611_title,Close Quest Window,
help_611_fail_1,"Blood Eidolons are just near around, you can close the window now.",
help_611_desc,The Big Blood Eidolon is just near around.  Please close this window to kill them.,
help_610_title,Find Blood Eidolon,
help_610_fail_2,"Click ""Big Blood Eidolon"" to auto-path to its location.",
help_610_fail_1,"Click the Quest ""Kill the Big Blood Eidolon"" ",
help_610_desc,"Press ""T"" to open quest list.  Click ""Kill the Big Blood Eidolon"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_609_title,Check Quest Info,
help_609_fail_1,Click here to check quest list.,
help_609_desc,"Open ""T"" or press the blue icon to open quest list.",
help_607_title,Open Accept Quest Window,
help_607_fail_1,"Click ""Accept Quest""",
help_607_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_606_title,Click Quest,
help_606_fail_1,"Click ""Kill the Big Blood Eidolon""",
help_606_desc,"You can see the acceptable quest ""Kill the Big Blood Eidolon"" in the dialogue.",
help_605_title,Talk to NPC,
help_605_desc,Click NPC to open dialogue window.,
help_604_title,Close Quest Window,
help_604_fail_1,"Buddhist Novice Ming is just near around, now you can close the quest window.",
help_604_desc,"Buddhist Novice Ming is just near around, please accept new quest from him.",
help_603_title,Check Current Acceptable Quest,
help_603_fail_2,"Click ""Buddhist Novice Ming"" to auto-path to his location.",
help_603_fail_1,"Click ""Current Acceptable Quest""",
help_603_desc,"Click ""Today's Acceptable Quest"", then you can check current acceptable quests and NPC.",
help_602_title,Current Acceptable Quest,
help_602_fail_1,Click here to check quest list.,
help_602_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_6_title,Open Accept Quest Window,
help_6_fail_1,"Click ""Golden Wing Bird's Request""",
help_6_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_519_title,Finish Quest,
help_519_fail_1,"Click ""Accomplish Quest""",
help_519_desc,"Click the quest ""Exterminate the Blood Eidolons"" to check details.  Go to finish it and get rewards.",
help_518_title,Open Finished Quest window,
help_518_fail_1,"Click ""Exterminate the Blood Eidolons""",
help_518_desc,"Please click the green quest ""Exterminate the Blood Eidolon"" below the ""Quests could be finished"" to get rewards.",
help_517_title,Talk to Quest NPC to Report Quest (2),
help_517_desc,"Go to find the NPC and right click him to open dialogue window.  Then select the quest ""Exterminate the Blood Eidolon"" below the ""Quests could be finished"" to finish it.",
help_516_title,Talk to Quest NPC to Report Quest (1),
help_516_fail_1,"Buddhist Novice Ming is just near around, now you can close the quest window.",
help_516_desc,Please go to visit the NPC who has a question mark over his head to report your quest.  Then this quest will be finished.,
help_515_title,Quest Notify Spot,
help_515_fail_2,"Click the green name of ""Buddhist Novice Ming"" below ""Quest Notify Spot"" to auto-path to the NPC's location.",
help_515_fail_1,"Click the quest ""Exterminate the Blood Eidolons"" to check details.  Go to finish it and get rewards.",
help_515_desc,"Press ""T"" to open quest list.  Click ""Kill the Big Blood Eidolon"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_514_title,Check Quest Info,
help_514_fail_1,Click here to check quest list.,
help_514_desc,"You've finished the quest ""Exterminate the Blood Eidolons"", please open the quest window to check quest info.",
help_512_title,Kill the Blood Eidolon,
help_512_desc,Please click the Blood Eidolon and kill them.,
help_511_title,Close Quest Window,
help_511_fail_1,"Blood Eidolons are just near around, you can close the window now.",
help_511_desc,"Blood Eidolons are just near around, please close this window to kill them.",
help_510_title,Find Blood Eidolon,
help_510_fail_2,Click Blood Eidolon to auto-path to its location.,
help_510_fail_1,"Click ""Exterminate the Blood Eidolons""",
help_510_desc,"Press ""T"" to open quest list.  Click ""Kill the Big Blood Eidolon"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_509_title,Check Quest Info,
help_509_fail_1,Click here to check quest list.,
help_509_desc,"Open ""T"" or press the blue icon to open quest list.",
help_507_title,Open Accept Quest Window,
help_507_fail_1,"Click ""Accept Quest""",
help_507_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_506_title,Click Quest,
help_506_fail_1,"Click ""Exterminate the Blood Eidolons""",
help_506_desc,"You can see the acceptable quest ""Exterminate the Blood Eidolons"" in the dialogue.",
help_505_title,Talk to NPC,
help_505_desc,Click the NPC to open Dialogue,
help_504_title,Close Quest Window,
help_504_fail_1,"Buddhist Novice Ming is just near around, you can close the quest window now.",
help_504_desc,"Buddhist Novice Ming is just near around, please accept new quest from him.",
help_503_title,Check Current Acceptable Quest,
help_503_fail_2,Click Buddhist Novice Ming to auto-path to its location.,
help_503_fail_1,"Click ""Current Acceptable Quest""",
help_503_desc,"Click ""Today's Acceptable Quest"", then you can check current acceptable quests and NPC.",
help_502_title,Current Acceptable Quest,
help_502_fail_1,Click here to check quest list.,
help_502_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_5_title,Talk to NPC,
help_5_desc,You can hold down the right mouse to find the NPC who has a exclamation mark over the head.  Talk to him to accept quest.,
help_418_title,Finish Quest,
help_418_fail_1,"Click ""Accomplish Quest""",
help_418_desc,"Click ""Capture Blood Eidolon"" to check details.  Please finish the quest and get rewards.",
help_417_title,Open Finished Quest window,
help_417_fail_1,"Click ""Capture Blood Eidolon""",
help_417_desc,"Click the quest ""Capture Blood Eidolon"" in the dialogue and get your rewards.",
help_416_title,Talk to Quest NPC to Report Quest (2),
help_416_desc,"Go to find the NPC and right click him to open dialogue window.  Then select the quest ""Capture Blood Eidolon"" below the ""Quests could be finished"" to finish it.",
help_415_title,Talk to Quest NPC to Report Quest (1),
help_415_fail_1,"Golden Wing Bird is just near around, now you can close this window.",
help_415_desc,Please go to visit the NPC who has a question mark over his head to report your quest.  Then this quest will be finished.,
help_414_title,Quest Notify Spot,
help_414_fail_2,"Click the green name of ""Golden Wing Bird"" below ""Quest Notify Spot"" to auto-path to the NPC's location.",
help_414_fail_1,"Click the Quest ""Capture Blood Eidolon""",
help_414_desc,"Press ""T"" to open quest list.  Click ""Capture Big Blood Eidolon"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_413_title,Check Quest Info,
help_413_fail_1,Click here to check quest list.,
help_413_desc,"You've finished the quest ""Captured Blood Eidolons"", please open the quest window to check quest info.",
help_411_title,Kill the Blood Eidolon,
help_411_desc,Please click the Blood Eidolon and kill them.,
help_410_title,Close Quest Window,
help_410_fail_1,"Blood Eidolons are just near around, you can close the window now.",
help_410_desc,"Blood Eidolons are just near around, please close this window and kill them.",
help_409_title,Find Blood Eidolon,
help_409_fail_2,"Click ""Blood Eidolon"" to auto-path to their locations.",
help_409_fail_1,"Click the Quest ""Capture Blood Eidolon""",
help_409_desc,"Press ""T"" to open quest list.  Click ""Capture Blood Eidolon"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_408_title,Check Quest Info,
help_408_fail_1,Click here to check quest list.,
help_408_desc,"Open ""T"" or press the blue icon to open quest list.",
help_406_title,Open Accept Quest Window,
help_406_fail_1,"Click ""Accept Quest""",
help_406_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_405_title,Click Quest,
help_405_fail_1,"Click ""Capture Blood Eidolon""",
help_405_desc,"You can see the acceptable quest ""Capture Blood Eidolon"" in the dialogue.",
help_404_title,Talk to NPC,
help_404_desc,Click the NPC to open Dialogue,
help_403_title,Close Quest Window,
help_403_fail_1,"Buddha Slave is just near around, now you can close this window.",
help_403_desc,"Buddha Slave is just near around, please accept new quest from him.",
help_402_title,Check Current Acceptable Quest,
help_402_fail_2,"Click ""Buddhist Novice Ming"" to auto-path to his location.",
help_402_fail_1,"Click ""Current Acceptable Quest""",
help_402_desc,"Click ""Today's Acceptable Quest"", then you can check current acceptable quests and NPC.",
help_401_title,Current Acceptable Quest,
help_401_fail_1,Click here to check quest list.,
help_401_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_4_title,Find Quest NPC,
help_4_fail_1,"Buddhist Novice Ming is just near around, now you can close the quest window.",
help_4_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_314_title,Finish Quest,
help_314_fail_1,"Click ""Accomplish Quest""",
help_314_desc,"Click the quest ""Send Medicine"" to check details.  Please go to finish it and get rewards.",
help_313_title,Open Finished Quest window,
help_313_fail_1,"Click ""Send Medicine""",
help_313_desc,"Click the green quest name ""Send Medicine"" below the ""Quests could be finished"" to get rewards.",
help_312_title,Talk to Quest NPC to Report Quest (2),
help_312_desc,"Go to find the NPC and right click him to talk to him.   Click the green quest name ""Send Medicine"" below ""Quests could be finished"" to get rewards.",
help_311_title,Talk to Quest NPC to Report Quest (1),
help_311_fail_1,"Old Nanmu is just near around, now you can close the window and report quest to him.",
help_311_desc,Please go to visit the NPC who has a question mark over his head to report your quest.  Then this quest will be finished.,
help_310_title,Quest Notify Spot,
help_310_fail_2,"Click the green name of ""Old Nanmu"" below ""Quest Notify Spot"" to auto-path to the NPC's location.",
help_310_fail_1,"Click the Quest ""Send Medicine""",
help_310_desc,"Press ""T"" to open quest list.  Click ""Send Medicine"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_309_title,Check Quest Info,
help_309_fail_1,Click here to check quest list.,
help_309_desc,"Open ""T"" or press the blue icon to open quest list.",
help_307_title,Open Accept Quest Window,
help_307_fail_1,"Click ""Accept Quest""",
help_307_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_306_title,Click Quest,
help_306_fail_1,"Click ""Send Medicine""",
help_306_desc,"You can see the acceptable quest ""Send Medicine"" in the dialogue.",
help_305_title,Talk to NPC,
help_305_desc,Click NPC to open dialogue window.,
help_304_title,Close Quest Window,
help_304_fail_1,"Buddhist Novice Shan is just near around, now you can close the quest window.",
help_304_desc,"Buddhist Novice Shan is just near around, please accept new quest from him.",
help_303_title,Check Current Acceptable Quest,
help_303_fail_2,"Click ""Buddhist Novice Ming"" to auto-path to his location.",
help_303_fail_1,"Click ""Current Acceptable Quest""",
help_303_desc,"Click ""Today's Acceptable Quest"", then you can check current acceptable quests and NPC.",
help_302_title,Current Acceptable Quest,
help_302_fail_1,Click here to check quest list.,
help_302_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_3_title,Check Current Quest,
help_3_fail_2,"Click ""Golden Wing Bird"" to auto-path to his location.",
help_3_fail_1,"Click ""Current Acceptable Quest""",
help_3_desc,"Click the ""Acceptable Quest"" to open current acceptable quest list.",
help_219_title,Finish Quest,
help_219_fail_1,"Click ""Accomplish Quest""",
help_219_desc,"Click the quest ""Drive Away the Apes"" to check details.  Go to finish this quest and get rewards.",
help_218_title,Open Finished Quest window,
help_218_fail_1,"Click the Quest ""Drive Away the Apes""",
help_218_desc,"Click the quest ""Drive Away the Apes"" to check details.  Go to finish this quest and get rewards.",
help_217_title,Talk to Quest NPC to Report Quest (2),
help_217_desc,"GO to find the NPC and right click him to talk to him.   Click the green quest name ""Drive Away the Apes"" below ""Quests could be finished"" to get rewards.",
help_216_title,Talk to Quest NPC to Report Quest (1),
help_216_fail_1,"Golden Wing Bird is just near around, now you can close this window and report quest to him.",
help_216_desc,Please go to visit the NPC who has a question mark over his head to report your quest.  Then this quest will be finished.,
help_215_title,Find Quest Notify Spot,
help_215_fail_2,"Click the green name of ""Buddhist Novice Shan"" below ""Quest Notify Spot"" to auto-path to the NPC's location.",
help_215_fail_1,"Click the Quest ""Drive Away the Apes""",
help_215_desc,"Press ""T"" to open quest list.  Click ""Drive Away the Apes"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_214_title,Check Quest Info,
help_214_fail_1,Click here to check quest list.,
help_214_desc,"You've finished the quest ""Drive Away the Apes"".  Open the quest window to check details.",
help_212_title,Kill Apes,
help_212_desc,Please select the Apes and kill them.,
help_211_title,Close Quest Window,
help_211_fail_1,"Apes are just near around, now you can close this window.",
help_211_desc,"Apes are just near around, now you can close this window and kill them.",
help_210_title,Find Apes,
help_210_fail_2,"Click ""Apes"" to auto-path to their locations.",
help_210_fail_1,"Click the Quest ""Drive Away the Apes"".",
help_210_desc,"Press ""T"" to open quest list.  Click ""Drive Away the Apes"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_209_title,Check Quest Info,
help_209_fail_1,Click here to check quest list.,
help_209_desc,"Open ""T"" or press the blue icon to open quest list.",
help_207_title,Open Accept Quest Window,
help_207_fail_1,"Click ""Accept Quest""",
help_207_desc,"Right click NPC and select ""Acceptable Quest"".  Right click the green quest to open ""Quest Description"" window.",
help_206_title,Talk to NPC,
help_206_fail_1,"Click ""Acceptable Quest""",
help_206_desc,You can hold down the right mouse to find the NPC who has a exclamation mark over the head.  Talk to him to accept quest.,
help_205_title,Find Quest NPC,
help_205_fail_1,Talk to NPC,
help_205_desc,"Press ""T"" to open quest list.  Click ""Drive Away the Apes"" in the left of quest list.  Then click the green name of NPC in the right list to auto-path to his location.",
help_204_title,Close Quest Window,
help_204_fail_1,"Buddhist Novice Shan is just near around, now you can close the quest window and accept new quest from him.",
help_204_desc,"Buddhist Novice Shan is just near around, please accept new quest from him.",
help_203_title,Check Current Acceptable Quest,
help_203_fail_2,"Click ""Buddhist Novice Shan"" to auto-path to his location.",
help_203_fail_1,"Click ""Current Acceptable Quest""",
help_203_desc,"Click ""Today's Acceptable Quest"", then you can check current acceptable quests and NPC.",
help_202_title,Current Acceptable Quest,
help_202_fail_1,Click here to check quest list.,
help_202_desc,"Press ""T' to open quest list.  Select ""Current Acceptable Quest"" to auto-path the NPC's location. Please go to visit the NPC who has a exclamation mark over his head and right click him to accept quest from him.  ",
help_2_title,Open Quest Window,
help_2_fail_1,Click here to check quest list.,
help_2_desc,"Press ""T"" or click the ""Quest"" button to open quest list.",
help_1503_fail_1,"Click the ""View Reset"" to adjust.",
help_1501_title,Adjust View Reset,
help_1501_desc,"Click the ""View Reset"" button which is above the mini-map to reset the view.",
help_1420_title,Finish Quest,
help_1420_fail_1,"Click ""Accomplish Quest""",
help_1420_desc,"Click the quest ""Enhance Weapon Talisman"" to check details.  Go to finish this quest and get rewards.",
help_1419_title,Check Quest,
help_1419_fail_1,"Click ""Enhance Weapon Talisman""",
help_1419_desc,"You can see the acceptable quest ""Enhance Weapon Talisman"" in the dialogue.",
help_1418_title,Talk to NPC,
help_1418_desc,Please talk to Buddha Slave and get your rewards.,
help_1417_title,Close Quest Window,
help_1417_fail_1,"Buddha Slave is just near around, now you can close this window.",
