STRID,LAN,Remark
1099,Dai's Field,
1100,Mode Select,
1101,Ok,
1102,Quit,
1103,Competition Arena,
1104,Guild,
1105,Right-click on map to walk to destination. ,
1106,Rename Left:,
1107,Rename,
1108,Additional Rate: ,
1109,Competition,
1110,"Requirements:
1. Being a Master: Character must be level 30 or above
2. Being an Apprentice: Character's level must be 5 to 20 (including 5 and 20) and does not have a Master.

Hints:
1. Master shall deal with any application as soon as possible, since the applicant can only use the Apprenticeship System after being an Apprentice.
2. If an Apprentice does not report to Master in seven real days, master can expulse the apprentice without punishment for both parties.
3. A loss of 5% of Experience of present level will be caused to the party who stops the Master & Apprentice relationship unilaterally, and this party can not deal with the Master & Apprentice relationship within six hours.

Graduation:
1. Apprentice needs to team up with Master (Master must be team leader) when reaches level 30, and talk to Gentleman to complete the graduation ceremony.
2. Apprentice will be Graduated Apprentice after graduation and can recruit apprentice.

Rewards for Apprentice:
1. Apprentice can gain additional 5% Experience and 20% Energy of own after reporting to Master each time. 
2. When Apprentice reaches levels 10 and 20, two bound blue Weapon Talisman will be sent to their mail. When level 30 is reached, Apprentice will be sent two green bound Weapon Talisman as a Graduation reward after having graduated. When level 40 is reached, Apprentice will be sent two Elite Energy Stone. All of these rewards can be gained from NPC Post Officer.

Rewards for Master:
1. Master can gain additional 10% Experience and 40% Energy of the Apprentice's after each report. 
2. When Apprentice reaches level 20, Master will be rewarded one Advanced Energy Stone; when Apprentice graduates, Master will get one Elite Energy Stone as reward; when Apprentice reaches level 40, Master will get Blue Identify Gems and Medium Emerald.  All of these rewards can be gained from Post Officer when Apprentice reaches required levels.
3. When Apprentice above level 10 reports each time, and when Apprentice graduated, Master will get Master Points.  Master Points can be exchanged to Reputation Points at Reputation Merchant, the exchange rate is: 1 Master Point = 100 Reputation Points (except special scene). 
",
1111,Not to show evaluation points.,
1112,Failure: ,
1113,"If failed, you will lose combine gem and fortune item.  But the item's Plus Rank won't be changed, and some additional success rate will be increased.",
1114,Kill,
1115,Scenario Seven Stars Stage,
1116,Scenario Seven Stars Stage,
1117,Scenario Spider Catacomb,
1118,Warehouse Password: ,
1119,Set Password,
1120,Old Password: ,
1121,New Password: ,
1122,Ok,
1123,Reset,
1124,Re-enter: ,
1125,Group Arena,
1126,Cpt. Points,
1127,Rank,
1128,Name,
1129,Level,
1130,Profession,
1131,Soul Class,
1132,Guild,
1133,Prosperity,
1134,Guild Leader,
1135,Score,
1136,Owner,
1137,Name,
1138,Position,
1139,Profession,
1140,Level,
1141,Personal,
1142,Group,
1143,PVE Score,
1144,Attend,
1145,Our Points,
1146,Enemy Points,
1147,Exit,
1148, ,
1149, ,
1150, ,
1151, ,
1152, ,
1153,Body Figure,
1154,Skin Color,
1155,Our Group,
1156,Enemy Group,
1157,Guild,
1158,Monk,
1159,Wizard,
1160,Assassin,
1161,Fairy,
1162,Tamer,
1163,Operation,
1164,Friend,
1165,Friend Info,
1166,Competition Info,
1167,Moon Dragon Village,
1168,Bandit Lair,
1169,East of Simen Mountain,
1170,South of Simen Mountain,
1171,Outskirt of Village,
1172,Dry Woods,
1173,Old Site of Village,
1174,West of Simen Mountain,
1175,Simen Mountain,
1176,Foothill of Simen Mountain,
1177,South of Simen Mountain,
1178,Outskirt of Village,
1179,Dry Woods,
1180,Old Site of Village,
1181,Tire Value ,
1182,Scenario Silver Fox Cave,
1183,Buy Points,
1184,Shop Help,
1185,Auto,
1186,"If you choose it, system will automatically turn on the secret exercise every time when you log off.",
1187,T-Points,
1188,Ok,
1189,Cancel,
1190,Pick up all,
1191,Cancel,
1192,Connecting to the server…,
1193,Activate Char,
1194,You need change this character's name to enter game.,
1195,New Name,
1196,Activate Char,
1197,Modify Name,
1198,Menu,
1199,Attention: ,
1200,"Due to the mergence of servers, your account has more than 3 characters on this server now.  You are recommended to block unwanted characters to make sure there are no more than 3 characters in your account on this server.  All blocked characters will be deleted a few days later.  If you want to reactivate undeleted blocked character, please do it here.",
1201,Devil Gorge,
1202,Peacock River,
2127,Peacock River,
1203,Candor Cave,
1204,Stone Wood,
1205,Barbarian Mountain,
1206,Sky Curtain Altar,
1207,Wind Stage,
1208,Four Standing Cliff,
1209,Ghost Town,
1210,To Moon Dragon Village,
1211,Black Iron Mine,
1212,Barbarian Mountain,
1213,蛮,
1214,山,
1215,Conc.,
1216,Level,
1217,Concentration,
1218,Number left,
1219,Benefits / m,
1220,Explanation,
1221,Start,
1222,Scenario Chill Wind Cave,
1223,W. Talisman,
1224,Pellet,
