程序导标记，不用翻译
ID,Name,Action1_hint,Action2_hint,Action3_hint,Action4_hint,Action5_hint,Action6_hint,Action7_hint,Action8_hint,Action9_hint,Action10_hint
121,"Blood Oath Amulet",,"Increase 3% HP, Increase 5% move speed.",,,,,,,,
122,"Blood Oath Amulet",,"Increase 5% HP, Increase 10% move speed.",,,,,,,,
123,"Blood Oath Amulet",,"Increase 7% HP, Increase 15% move speed.",,,,,,,,
124,"Blood Oath Amulet",,"Increase 10% HP, Increase 20% move speed and decrease cool down time of skill[Freezing Trap] by 10 seconds.",,,,,,,,
125,"Blood Oath Amulet",,"Increase 10% HP, Increase 20% move speed and increase healing effect of [Healing Spell] by 436 Points.",,,,,,,,
126,"Blood Oath Amulet",,"Increase 10% HP, Increase 20% move speed and decrease cool down time of skill[Dragon Cry] by 15 seconds.",,,,,,,,
127,"Blood Oath Amulet",,"Increase 10% HP, Increase 20% move speed and decrease cool down time of skill[Earth Faint] by 5 seconds.",,,,,,,,
128,"Blood Oath Amulet",,"Increase 10% HP, Increase 20% move speed and decrease cool down time of skill[Buddha Quake] by 15 Seconds.",,,,,,,,
129,"Blood Oath Rings",,,,,,,,,,
130,"Blood Oath Rings",,,,,,,,,,
131,"Blood Oath Rings",,,,,,,,,,
132,"Blood Oath Rings",,,,,,,,,,
133,"Blood Oath Rings",,,,,,,,,,
134,"Blood Oath Rings",,,,,,,,,,
135,"Blood Oath Rings",,"Increase critical strike damage by 10%.",,,,,,,,
136,"Blood Oath Rings",,"Increase critical strike damage by 20%.",,,,,,,,
137,"Blood Oath Rings",,"Increase critical strike damage by 30%.",,,,,,,,
138,"Blood Oath Rings",,"Increase critical strike damage by 50%. Increase damage of skill [Heavy Crack] by 400 points.Increase damage of skill [Power Shoot] by 400 points.",,,,,,,,
139,"Blood Oath Rings",,"Increase critical strike damage by 50%. Increase damage of skill [Sheen Slice] by 400 points. Increase damage of skill [White Lotus] by 400 points.",,,,,,,,
140,"Blood Oath Rings",,"Increase critical strike damage by 50%. Increase damage of skill [Poison Bash] by 400 points. Increase damage of skill [Double Lash] by 400 points.",,,,,,,,
141,"Blood Oath Rings",,"Increase critical strike damage by 50%. Increase damage of skill [Fire Barb] by 400 points. Increase damage of skill [Water Barb] by 400 points.",,,,,,,,
142,"Blood Oath Rings",,"Increase critical strike damage by 50%. Increase damage of skill [Fatal Bash] by 500 points. Increase damage of skill [Giant Attack] by 500 points.",,,,,,,,
148,"Bright Force Suit",,"Increase 120 Intelligence.","80 Vitality","Increase All C.S Rate by 8%.","Increase Water Damage by 8%.","Decrease the cooling time of [Ice Fling] by 2 seconds.","Increase Precious Buff",,,
149,"Tiger Rage Suit",,"Increase 120 Strength.","80 Vitality","Increase All C.S Rate by 8%.","Increase Fire Damage by 8%.","Increase the damage of the skill [Fatal Bash] by 350.",,,,
150,"Rose Suit",,"Increase 120 Intelligence.","80 Vitality","Increase All C.S Rate by 8%.","Increase Lightning Damage by 8%.","Decrease the cooling time of [Thunder Faint] by 1 second.",,,,
151,"Holy Justice Suit",,"Increase 120 Dexterity.","80 Vitality","Increase All C.S Rate by 8%.","Increase Lightning Damage by 8%.","Increase the C.S Rate of the skill[Double Lash] by 10%.",,,,
152,"Blood Fury Suit",,"Increase 120 Intelligence.","80 Vitality","Increase All C.S Rate by 8%.","Increase Water Damage by 8%.","Increase the damage of the skill [Rapid Crack] by 150.",,,,
143,"Hail Suit",,"Increase 180 points Vitality.","Increase 200 Intelligence.","Increase Fire CS by 10%.","Increase Fire Damage by 10%.","Decrease the prepare time of [Fire Barb] by 0.3 seconds.",,,,
144,"Thundering Suit",,"Increase 220 points Vitality.","Increase 280 Strength.","Increase Fire CS by 10%.","Increase Fire Damage by 10%.","Increase the C.S Rate of the skill[Fatal Probe] by 30%",,,,
145,"Flying Cloud Suit",,"Increase 180 points Vitality.","Increase 200 Intelligence.","Increase Lightning CS by 10%.","Increase Lightning Damage by 10%.","Decrease the prepare time of [Sheen Slice] by 0.5 seconds.",,,,
146,"Lightning Suit",,"Increase 180 points Vitality.","Increase 200 Dexterity.","Increase Poison CS by 10%.","Increase Poison Damage by 10%.","Decrease the stamina consumed in [Poison Sting] by 5 points.",,,,
147,"Blue Feather Suit",,"Increase 180 points Vitality.","Increase 200 Intelligence.","Increase Water CS by 10%.","Increase Water Damage by 10%.","Increase the C.S Rate of the skill[Heavy Crack] by 10%",,,,
153,"Europe Talisman","Increase Vitality 700 Points","Increase Dexterity 500 Points",,,,,,,,
154,"Europe Talisman","Increase Vitality 700 Points","Increase Inteligence 500 Points",,,,,,,,
155,"Europe Talisman","Increase Vitality 700 Points","Increase Inteligence 500 Points",,,,,,,,
156,"Europe Talisman","Increase Vitality 700 Points","Increase Strenght 500 Points",,,,,,,,
157,"Europe Talisman","Increase Vitality 700 Points","Increase Inteligence 500 Points",,,,,,,,
