表情索引,表情包索引,所在图片,所在位置,显示位置,图片大小
112,2,ui\textures\mk54.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,456;132,44;44
113,2,ui\textures\mk55.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,456;176,44;44
114,2,ui\textures\mk56.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,456;220,44;44
115,2,ui\textures\mk57.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,456;264,44;44
116,2,ui\textures\mk58.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,456;308,44;44
117,2,ui\textures\mk59.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,500;0,44;44
118,2,ui\textures\mk60.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,500;44,44;44
119,2,ui\textures\mk61.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,500;88,44;44
120,2,ui\textures\mk62.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,500;132,44;44
121,2,ui\textures\mk63.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,500;176,44;44
122,2,ui\textures\mk64.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,500;220,44;44
123,2,ui\textures\mk65.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,500;264,44;44
124,2,ui\textures\mk66.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,500;308,44;44
125,2,ui\textures\mk67.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,544;0,44;44
126,2,ui\textures\mk68.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,544;44,44;44
127,2,ui\textures\mk69.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,544;88,44;44
128,2,ui\textures\mk70.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,544;132,44;44
129,2,ui\textures\mk71.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,544;176,44;44
130,2,ui\textures\mk72.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0,544;220,44;44
131,2,ui\textures\mk73.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0,544;264,44;44
132,2,ui\textures\mk74.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,544;308,44;44
133,2,ui\textures\mk75.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,588;0,44;44
134,2,ui\textures\mk76.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0,588;44,44;44
135,2,ui\textures\mk77.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,588;88,44;44
136,2,ui\textures\mk78.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,588;132,44;44
137,2,ui\textures\mk79.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,588;176,44;44
138,2,ui\textures\mk80.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,588;220,44;44
139,2,ui\textures\mk81.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,588;264,44;44
140,2,ui\textures\mk82.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,588;308,44;44
141,2,ui\textures\mk83.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,632;0,44;44
142,2,ui\textures\mk84.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,632;44,44;44
143,2,ui\textures\mk85.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,632;88,44;44
144,2,ui\textures\mk86.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,632;132,44;44
145,2,ui\textures\mk87.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,632;176,44;44
146,2,ui\textures\mk88.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,632;220,44;44
147,2,ui\textures\mk89.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,632;264,44;44
148,2,ui\textures\mk90.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,632;308,44;44
149,2,ui\textures\mk91.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,676;0,44;44
150,2,ui\textures\mk92.tga,0;0;53;0;106;0;159;0;212;0;265;0,676;44,44;44
151,2,ui\textures\mk93.tga,0;0;53;0;106;0,676;88,44;44
152,2,ui\textures\mk94.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,676;132,44;44
153,2,ui\textures\mk95.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,676;176,44;44
154,2,ui\textures\mk96.tga,0;0;53;0;106;0;159;0;212;0,676;220,44;44
155,2,ui\textures\mk97.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0;477;0;530;0,676;264,44;44
156,2,ui\textures\mk98.tga,0;0;53;0;106;0;159;0;212;0;265;0;318;0;371;0;424;0,676;308,44;44
